arm,cfg_id,sigma_mult,x_train,y_train,encoder,mean_macro_f1,std_macro_f1,mean_acc,mean_sens,mean_spec
hard,9,0.5,True,True,linear,0.5350003511929309,0.11256301207737403,0.5916666666666667,0.7536363636363638,0.3371428571428571
hard,1,0.25,True,True,linear,0.5177215013386303,0.10572066163042436,0.5944444444444444,0.7990909090909091,0.2728571428571428
hard,3,0.25,True,False,linear,0.5177215013386303,0.10572066163042436,0.5944444444444444,0.7990909090909091,0.2728571428571428
hard,15,0.5,False,False,linear,0.5114193017932148,0.10748706850805896,0.5911111111111111,0.8045454545454547,0.2557142857142856
hard,13,0.5,False,True,linear,0.5114193017932148,0.10748706850805896,0.5911111111111111,0.8045454545454547,0.2557142857142856
hard,6,0.25,False,False,identity,0.5058519251418802,0.10530498837511963,0.5911111111111113,0.8127272727272726,0.24285714285714277
hard,4,0.25,False,True,identity,0.5058519251418802,0.10530498837511963,0.5911111111111113,0.8127272727272726,0.24285714285714277
hard,2,0.25,True,False,identity,0.4964112080087718,0.10506108576469561,0.58,0.7963636363636363,0.23999999999999994
hard,0,0.25,True,True,identity,0.4964112080087718,0.10506108576469561,0.58,0.7963636363636363,0.23999999999999994
hard,7,0.25,False,False,linear,0.48723241254275734,0.09950577276247814,0.5822222222222223,0.8190909090909089,0.20999999999999994
hard,5,0.25,False,True,linear,0.48723241254275734,0.09950577276247814,0.5822222222222223,0.8190909090909089,0.20999999999999994
soft,30,2.0,False,False,identity,0.6012704172638955,0.10742398136820434,0.6716666666666669,0.8763636363636361,0.35
soft,29,2.0,False,True,linear,0.5993204405196564,0.11117900797329713,0.6511111111111112,0.8054545454545454,0.40857142857142853
soft,28,2.0,False,True,identity,0.5992531306857394,0.10615773679843249,0.6683333333333336,0.8699999999999999,0.3514285714285715
soft,31,2.0,False,False,linear,0.5961338256782429,0.11564642522659005,0.6494444444444446,0.8081818181818184,0.4
soft,22,1.0,False,False,identity,0.5930306127045258,0.10348516732628475,0.6527777777777779,0.8290909090909092,0.37571428571428567
soft,27,2.0,True,False,linear,0.59101790003867,0.11180293334449413,0.635,0.7627272727272727,0.43428571428571433
soft,20,1.0,False,True,identity,0.5899162552423423,0.0949064739955266,0.6505555555555556,0.830909090909091,0.3671428571428571
soft,24,2.0,True,True,identity,0.5885095035399384,0.1129975273994167,0.6527777777777779,0.8400000000000003,0.35857142857142854
soft,26,2.0,True,False,identity,0.5873572184659142,0.1121146518676909,0.6527777777777777,0.842727272727273,0.3542857142857143
soft,25,2.0,True,True,linear,0.5866467297033693,0.11836492479634213,0.631111111111111,0.7600000000000001,0.42857142857142855
soft,21,1.0,False,True,linear,0.5707028322201496,0.10200568549785377,0.6333333333333333,0.8145454545454547,0.34857142857142853
soft,16,1.0,True,True,identity,0.5692212980287586,0.09489947190696746,0.6250000000000001,0.7881818181818181,0.3685714285714285
soft,17,1.0,True,True,linear,0.5676303629283774,0.11006153381918604,0.6133333333333333,0.7454545454545455,0.40571428571428575
soft,18,1.0,True,False,identity,0.5668350496370015,0.09034988226254713,0.6211111111111111,0.7800000000000001,0.3714285714285714
soft,23,1.0,False,False,linear,0.55926842844534,0.10531994003630268,0.6261111111111112,0.8154545454545457,0.32857142857142846
soft,19,1.0,True,False,linear,0.5544015534965326,0.11529731575192191,0.6038888888888888,0.7463636363636365,0.37999999999999995
soft,10,0.5,True,False,identity,0.553000385944278,0.1051192876401286,0.6155555555555556,0.7909090909090909,0.3399999999999999
soft,12,0.5,False,True,identity,0.5387886268321052,0.09758091977573696,0.6027777777777779,0.781818181818182,0.32142857142857134
soft,14,0.5,False,False,identity,0.5377958350023568,0.10029146003146182,0.6033333333333334,0.7890909090909094,0.31142857142857133
soft,8,0.5,True,True,identity,0.5313264259657821,0.10191260350797679,0.6,0.7818181818181819,0.3142857142857143
soft,4,0.25,False,True,identity,0.5270042800333655,0.11389478329311375,0.6105555555555555,0.8309090909090909,0.2642857142857142
soft,9,0.5,True,True,linear,0.519052736166308,0.11484364268684892,0.5777777777777778,0.740909090909091,0.3214285714285714
soft,6,0.25,False,False,identity,0.5134396709709302,0.10957556112050312,0.6005555555555556,0.8254545454545453,0.24714285714285705
soft,11,0.5,True,False,linear,0.5095949672703072,0.1109313519084375,0.5711111111111112,0.74,0.3057142857142857
soft,13,0.5,False,True,linear,0.5059040423483452,0.1180253896453152,0.5922222222222222,0.8136363636363636,0.24428571428571424
soft,3,0.25,True,False,linear,0.5006791086668898,0.10132754350860622,0.5872222222222222,0.8090909090909092,0.23857142857142852
soft,15,0.5,False,False,linear,0.5004949162087843,0.10995764397537534,0.5894444444444444,0.8154545454545457,0.2342857142857142
soft,0,0.25,True,True,identity,0.49561982881630556,0.10664187185797737,0.5916666666666667,0.8290909090909091,0.2185714285714285
soft,2,0.25,True,False,identity,0.4901994073157116,0.10748958422565578,0.5833333333333333,0.8154545454545454,0.2185714285714285
soft,5,0.25,False,True,linear,0.48999169889469735,0.09895773543915556,0.5866666666666667,0.8272727272727272,0.20857142857142852
