dimension,frequency,pct
mri_emb_352,50,1.0
mri_emb_353,50,1.0
mri_emb_354,50,1.0
mri_emb_355,50,1.0
mri_emb_356,50,1.0
mri_emb_357,50,1.0
mri_emb_358,50,1.0
mri_emb_359,50,1.0
mri_emb_360,50,1.0
mri_emb_361,50,1.0
mri_emb_362,50,1.0
mri_emb_363,50,1.0
mri_emb_364,50,1.0
mri_emb_365,50,1.0
mri_emb_366,50,1.0
mri_emb_367,50,1.0
mri_emb_368,50,1.0
mri_emb_369,50,1.0
mri_emb_370,50,1.0
mri_emb_371,50,1.0
mri_emb_372,50,1.0
mri_emb_373,50,1.0
mri_emb_374,50,1.0
mri_emb_375,50,1.0
mri_emb_376,50,1.0
mri_emb_377,50,1.0
mri_emb_378,50,1.0
mri_emb_379,50,1.0
mri_emb_380,50,1.0
mri_emb_381,50,1.0
mri_emb_382,50,1.0
mri_emb_383,50,1.0
mri_emb_384,50,1.0
mri_emb_385,50,1.0
mri_emb_386,50,1.0
mri_emb_387,50,1.0
mri_emb_388,50,1.0
mri_emb_389,50,1.0
mri_emb_390,50,1.0
mri_emb_391,50,1.0
mri_emb_392,50,1.0
mri_emb_393,50,1.0
mri_emb_394,50,1.0
mri_emb_395,50,1.0
mri_emb_396,50,1.0
mri_emb_397,50,1.0
mri_emb_398,50,1.0
mri_emb_399,50,1.0
mri_emb_400,50,1.0
mri_emb_401,50,1.0
mri_emb_402,50,1.0
mri_emb_403,50,1.0
mri_emb_404,50,1.0
mri_emb_405,50,1.0
mri_emb_406,50,1.0
mri_emb_407,50,1.0
mri_emb_408,50,1.0
mri_emb_409,50,1.0
mri_emb_410,50,1.0
mri_emb_411,50,1.0
mri_emb_412,50,1.0
mri_emb_413,50,1.0
mri_emb_414,50,1.0
mri_emb_415,50,1.0
mri_emb_416,50,1.0
mri_emb_417,50,1.0
mri_emb_418,50,1.0
mri_emb_419,50,1.0
mri_emb_420,50,1.0
mri_emb_421,50,1.0
mri_emb_422,50,1.0
mri_emb_423,50,1.0
mri_emb_424,50,1.0
mri_emb_425,50,1.0
