baseline,protocol,split_id,accuracy,balanced_accuracy,sensitivity,specificity,precision_yes,F1_yes,F1_no,Macro_F1,MCC,Brier,ROC_AUC,PR_AUC,tp,fp,tn,fn
always_no,mccv,6,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,7,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,8,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,9,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,10,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,11,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,12,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,13,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,14,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,15,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,16,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,17,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,18,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,19,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,20,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,21,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,22,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,23,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,24,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,25,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,26,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,27,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,28,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,29,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,30,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,31,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,32,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,33,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,34,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,35,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,36,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,37,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,38,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,39,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,40,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,41,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,42,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,43,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,44,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,45,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,46,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,47,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,48,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,mccv,49,0.3888888888888889,0.5,0.0,1.0,0.0,0.0,0.56,0.28,0.0,0.6111111111111112,,,0,0,7,11
always_no,loo_pooled,-1,0.38636363636363635,0.5,0.0,1.0,0.0,0.0,0.5573770491803278,0.2786885245901639,0.0,0.6136363636363636,,,0,0,34,54
