config_id,distance,rule,weight,k,accuracy_mean,balanced_accuracy_mean,sensitivity_mean,specificity_mean,precision_yes_mean,F1_yes_mean,F1_no_mean,Macro_F1_mean,MCC_mean,Brier_mean,ROC_AUC_mean,PR_AUC_mean,accuracy_std,balanced_accuracy_std,sensitivity_std,specificity_std,precision_yes_std,F1_yes_std,F1_no_std,Macro_F1_std,MCC_std,Brier_std,ROC_AUC_std,PR_AUC_std,accuracy_min,balanced_accuracy_min,sensitivity_min,specificity_min,precision_yes_min,F1_yes_min,F1_no_min,Macro_F1_min,MCC_min,Brier_min,ROC_AUC_min,PR_AUC_min,accuracy_max,balanced_accuracy_max,sensitivity_max,specificity_max,precision_yes_max,F1_yes_max,F1_no_max,Macro_F1_max,MCC_max,Brier_max,ROC_AUC_max,PR_AUC_max,accuracy_n_valid,balanced_accuracy_n_valid,sensitivity_n_valid,specificity_n_valid,precision_yes_n_valid,F1_yes_n_valid,F1_no_n_valid,Macro_F1_n_valid,MCC_n_valid,Brier_n_valid,ROC_AUC_n_valid,PR_AUC_n_valid,elapsed_sec
minkowski_p3_rigid_inverse_distance_k5,minkowski_p3,rigid,inverse_distance,5,0.6244444444444445,0.6064935064935064,0.6872727272727271,0.5257142857142857,0.6961348096348097,0.6843213304705296,0.5175702238937533,0.6009457771821414,0.22213117852176748,0.23677467154023668,0.6877922077922078,0.8274598657432881,0.10856493065118472,0.10644080845932144,0.1570945509094799,0.16438392298450832,0.09115988456186072,0.10928654184133686,0.13089669154873512,0.10855011133321478,0.21759576205185885,0.06224044220740314,0.12964358719855107,0.0844331124689291,0.3333333333333333,0.2987012987012987,0.36363636363636365,0.14285714285714285,0.45454545454545453,0.42105263157894735,0.14285714285714285,0.2987012987012987,-0.4025974025974026,0.1528335102923793,0.4025974025974026,0.6141835363092047,0.7777777777777778,0.7662337662337663,0.9090909090909091,0.8571428571428571,0.875,0.8333333333333334,0.7142857142857143,0.7662337662337663,0.5324675324675324,0.40486471054199036,0.8961038961038961,0.9505590666018473,50,50,50,50,50,50,50,50,50,50,50,50,6.283125162124634
minkowski_p3_rigid_inverse_distance_k7,minkowski_p3,rigid,inverse_distance,7,0.6177777777777778,0.5870129870129871,0.7254545454545455,0.44857142857142857,0.6786843711843712,0.6956696210984539,0.4657517188693659,0.58071066998391,0.1849258665447144,0.231702968969881,0.6898701298701299,0.8263995178914965,0.08953844302330446,0.09499181063849216,0.12656841964223808,0.17793765082234544,0.0761078309247551,0.07792512500629319,0.14561725728190938,0.09908414089715545,0.20129404578202187,0.05326453893437966,0.12181880909929667,0.07916242838556452,0.3888888888888889,0.3441558441558441,0.45454545454545453,0.14285714285714285,0.5,0.47619047619047616,0.15384615384615385,0.3377926421404682,-0.3223291856101521,0.1575917477995457,0.4025974025974026,0.6571289821289821,0.7777777777777778,0.7402597402597402,1.0,0.8571428571428571,0.8571428571428571,0.8461538461538461,0.6666666666666666,0.75,0.5606119105813882,0.41575674110772226,0.935064935064935,0.9674931129476583,50,50,50,50,50,50,50,50,50,50,50,50,6.294715642929077
minkowski_p3_rigid_inverse_distance_k9,minkowski_p3,rigid,inverse_distance,9,0.6366666666666666,0.602987012987013,0.7545454545454545,0.4514285714285714,0.687230942260354,0.712027495751981,0.4816699117875588,0.5968487037697698,0.2261423820139631,0.22445195124053682,0.6984415584415583,0.8321303745274333,0.08923543557893894,0.08932405268019745,0.14490852989884023,0.169178626743369,0.06909633141408204,0.08714818754847072,0.13637998877019136,0.09554921120663695,0.19231080072016354,0.048404645155243634,0.11900740632706622,0.07301052115710262,0.3888888888888889,0.3701298701298701,0.36363636363636365,0.14285714285714285,0.5,0.47619047619047616,0.16666666666666666,0.37142857142857144,-0.2548235957188128,0.14544753761377857,0.40259740259740256,0.674986124986125,0.8333333333333334,0.7922077922077921,1.0,0.8571428571428571,0.8888888888888888,0.88,0.75,0.8036363636363637,0.6700593942604899,0.4102348708177325,0.922077922077922,0.9530630985176438,50,50,50,50,50,50,50,50,50,50,50,50,6.281267881393433
minkowski_p3_rigid_inverse_distance_k11,minkowski_p3,rigid,inverse_distance,11,0.6577777777777777,0.6192207792207792,0.7927272727272728,0.4457142857142857,0.6946697256991375,0.735317207953202,0.49217064205144695,0.6137439250023246,0.26187665949677946,0.22107469369125204,0.7044155844155844,0.8314491266309451,0.09935544352081793,0.10310425784310749,0.13501497577524182,0.1770694854161948,0.07387889716374019,0.08892070586375363,0.16322871939486447,0.11338217204424304,0.22233585805749603,0.04498601512034367,0.12127848952289706,0.07649793735184231,0.3888888888888889,0.3701298701298701,0.36363636363636365,0.14285714285714285,0.5,0.47058823529411764,0.18181818181818182,0.37142857142857144,-0.2548235957188128,0.1507514220813771,0.37662337662337664,0.5968975468975468,0.8333333333333334,0.8116883116883117,1.0,0.7142857142857143,0.8333333333333334,0.88,0.7692307692307693,0.8193979933110368,0.6700593942604899,0.3736942570696614,0.922077922077922,0.9584022038567493,50,50,50,50,50,50,50,50,50,50,50,50,6.067594289779663
minkowski_p3_rigid_inverse_distance_k15,minkowski_p3,rigid,inverse_distance,15,0.6233333333333334,0.574935064935065,0.7927272727272728,0.3571428571428571,0.6610710123210123,0.714703695338478,0.4171284271284271,0.5659160612334526,0.18048789801437046,0.21788166795514144,0.7142857142857143,0.8410939247917858,0.0967407905139127,0.09487587633459717,0.14812028498060523,0.15873825700106167,0.06510639385993364,0.08990694428752607,0.1458032287679915,0.1032734052413656,0.2241927975188717,0.03556603415543127,0.11645532338757117,0.07011688179137911,0.3888888888888889,0.3181818181818182,0.36363636363636365,0.0,0.5,0.47619047619047616,0.0,0.28,-0.4264014327112209,0.16208510714377417,0.4805194805194805,0.6555555555555554,0.7777777777777778,0.7402597402597402,1.0,0.8571428571428571,0.8,0.8461538461538461,0.6666666666666666,0.75,0.5606119105813882,0.32447434642116746,0.922077922077922,0.9606060606060607,50,50,50,50,50,50,50,50,50,50,50,50,6.283113718032837
minkowski_p3_rigid_inverse_distance_k21,minkowski_p3,rigid,inverse_distance,21,0.6344444444444445,0.5772727272727273,0.8345454545454545,0.32,0.656399992164698,0.7281932464988331,0.39204518683930445,0.5601192166690688,0.1967862279876442,0.2130003399359933,0.7148051948051949,0.8381346878018001,0.10593974718090393,0.10036788529927232,0.1729663417312768,0.16719754406746157,0.06332850888051757,0.10796585168881749,0.17637909651667358,0.11901161663110904,0.2515553177283821,0.02547012317851073,0.11606925771639695,0.06807374188771366,0.4444444444444444,0.36363636363636365,0.2727272727272727,0.0,0.5333333333333333,0.375,0.0,0.3076923076923077,-0.3567530340063379,0.16130184585806392,0.45454545454545453,0.6966646989374263,0.8333333333333334,0.8116883116883117,1.0,0.7142857142857143,0.8333333333333334,0.88,0.7692307692307693,0.8193979933110368,0.6700593942604899,0.27169887073844023,0.948051948051948,0.9757575757575758,50,50,50,50,50,50,50,50,50,50,50,50,6.282884836196899
minkowski_p3_fuzzy_confidence_uniform_k1,minkowski_p3,fuzzy_confidence,uniform,1,0.6322222222222222,0.605064935064935,0.7272727272727273,0.4828571428571429,0.6920663225663226,0.7011371414753566,0.49676063479004656,0.5989488881327015,0.22239053078777407,0.3677777777777777,0.605064935064935,0.6725926750017659,0.09582491172040405,0.09604307858520841,0.15033554419208087,0.17529650017544826,0.07114795108969804,0.0946345743962894,0.14495829180315253,0.10396776948722662,0.20854505020666353,0.09582491172040405,0.09604307858520843,0.05666005705509099,0.4444444444444444,0.36363636363636365,0.36363636363636365,0.0,0.5333333333333333,0.5,0.0,0.3076923076923077,-0.3567530340063379,0.1111111111111111,0.36363636363636365,0.5545454545454546,0.8888888888888888,0.8571428571428572,1.0,0.8571428571428571,0.8461538461538461,0.9166666666666666,0.8333333333333334,0.875,0.7774288420142416,0.5555555555555556,0.8571428571428572,0.8461538461538461,50,50,50,50,50,50,50,50,50,50,50,50,6.222968578338623
minkowski_p3_fuzzy_confidence_uniform_k3,minkowski_p3,fuzzy_confidence,uniform,3,0.6211111111111112,0.5996103896103897,0.6963636363636364,0.5028571428571429,0.6883770673770674,0.6844470013985157,0.502363797708999,0.5934053995537574,0.21065562389960354,0.26796684513311503,0.6649350649350648,0.7886266370290435,0.10688681929535492,0.10380172296761124,0.16387325668650654,0.16888294584144653,0.09050881024967454,0.11060518497751488,0.13313823138031838,0.10728657505153275,0.2163400087875379,0.07626183387089669,0.12392987675075871,0.08310496462632837,0.3333333333333333,0.35064935064935066,0.2727272727272727,0.14285714285714285,0.42857142857142855,0.3333333333333333,0.2,0.3333333333333333,-0.2987012987012987,0.13839849108367627,0.35064935064935066,0.5964646464646465,0.8333333333333334,0.8116883116883117,1.0,0.8571428571428571,0.875,0.8695652173913043,0.7692307692307693,0.8193979933110368,0.6446583712203042,0.47501557207245043,0.8701298701298702,0.9196428571428572,50,50,50,50,50,50,50,50,50,50,50,50,6.293969631195068
minkowski_p3_fuzzy_confidence_uniform_k5,minkowski_p3,fuzzy_confidence,uniform,5,0.5855555555555556,0.57,0.6399999999999999,0.5,0.670376456876457,0.6473049326278831,0.47622078145452756,0.5617628570412054,0.14418843665533065,0.24253836904967305,0.6720779220779219,0.8140729732240429,0.1145774495156693,0.11616152379046413,0.15687967657705457,0.187599758273982,0.10482211236642351,0.11366423419288922,0.14744220933754765,0.11632579923488386,0.23371961023346702,0.06559879151775214,0.1279761846393096,0.08127203457558055,0.2777777777777778,0.2532467532467533,0.36363636363636365,0.14285714285714285,0.4,0.38095238095238093,0.13333333333333333,0.2571428571428571,-0.48416483186574427,0.13933114019402731,0.40909090909090906,0.6080884949868907,0.7777777777777778,0.7402597402597402,0.9090909090909091,0.8571428571428571,0.8571428571428571,0.8333333333333334,0.6666666666666666,0.75,0.5229975846277625,0.4437081297588614,0.9090909090909091,0.9505590666018473,50,50,50,50,50,50,50,50,50,50,50,50,6.295149087905884
minkowski_p3_fuzzy_confidence_uniform_k7,minkowski_p3,fuzzy_confidence,uniform,7,0.5966666666666667,0.5733766233766233,0.6781818181818181,0.46857142857142847,0.6726529646823765,0.6682134245955754,0.4630415923945336,0.5656275084950546,0.15582234508715137,0.24001365962108667,0.6625974025974027,0.8039442864028427,0.1121324937077773,0.1174651263416411,0.1483137352873501,0.20211295352065217,0.10323984905115251,0.10192410124694731,0.16078276419881954,0.11788186945996863,0.2426948760665943,0.05890866348968911,0.12439395319095566,0.08132740057914697,0.2777777777777778,0.22727272727272727,0.36363636363636365,0.0,0.4,0.38095238095238093,0.0,0.21739130434782608,-0.5640760748177662,0.15474443673638344,0.33766233766233766,0.6083530106257379,0.7777777777777778,0.8181818181818181,1.0,1.0,1.0,0.8333333333333334,0.7777777777777778,0.7777777777777778,0.6363636363636364,0.45740207113162284,0.8831168831168832,0.9472910927456382,50,50,50,50,50,50,50,50,50,50,50,50,5.957745790481567
minkowski_p3_fuzzy_confidence_uniform_k9,minkowski_p3,fuzzy_confidence,uniform,9,0.6266666666666666,0.5984415584415586,0.7254545454545455,0.4714285714285713,0.6833779325249912,0.6968608151912499,0.48302852702852694,0.5899446711098885,0.2079281372850797,0.22825613602541042,0.6809090909090911,0.8078517167621445,0.09851505174084381,0.0977981191207973,0.15744845245230443,0.17849852739322347,0.08372086709733105,0.10556413701624127,0.15141205918884917,0.10757795687084752,0.20793345606346356,0.053088717043080366,0.11785100038826933,0.07359707157310837,0.3333333333333333,0.3441558441558441,0.18181818181818182,0.0,0.4,0.25,0.0,0.325,-0.3223291856101521,0.1393435677324819,0.33766233766233766,0.6188788410045094,0.8333333333333334,0.7922077922077921,1.0,0.8571428571428571,0.8888888888888888,0.88,0.75,0.8036363636363637,0.6700593942604899,0.4308557106480045,0.9155844155844155,0.9258838383838384,50,50,50,50,50,50,50,50,50,50,50,50,6.342362642288208
minkowski_p3_fuzzy_confidence_uniform_k11,minkowski_p3,fuzzy_confidence,uniform,11,0.6411111111111112,0.6092207792207793,0.7527272727272727,0.46571428571428564,0.6919169702846173,0.7139465092581797,0.4890688102746925,0.6015076597664362,0.23706440673997026,0.2205899773852745,0.6890909090909092,0.8041331492334167,0.10176695424134788,0.10350351549265707,0.15480170831949444,0.18883893032863608,0.08039393834215108,0.09615041661791342,0.16094727845012596,0.11170688588457452,0.2246232062162569,0.04418390075046476,0.11661511814672176,0.07152651899555995,0.3333333333333333,0.2987012987012987,0.45454545454545453,0.0,0.45454545454545453,0.45454545454545453,0.0,0.2987012987012987,-0.4025974025974026,0.14657526436620666,0.36363636363636365,0.5728470949727633,0.8333333333333334,0.8116883116883117,1.0,0.8571428571428571,0.8888888888888888,0.88,0.7692307692307693,0.8193979933110368,0.6700593942604899,0.37359616674399143,0.8961038961038961,0.9289849039849041,50,50,50,50,50,50,50,50,50,50,50,50,6.141212701797485
minkowski_p3_fuzzy_confidence_uniform_k15,minkowski_p3,fuzzy_confidence,uniform,15,0.6355555555555555,0.5942857142857142,0.78,0.4085714285714285,0.6761041442217912,0.7185840391303305,0.4552518680150259,0.5869179535726784,0.2115769713441354,0.21650471032166735,0.7046753246753248,0.830544870310913,0.1029668237474721,0.10401398030835375,0.14817720834652065,0.17558138091622397,0.07431786389667745,0.09421631525240391,0.16373971537601337,0.11430845103532736,0.2343341949738403,0.03531238621425755,0.11678176835271663,0.07063524115597258,0.4444444444444444,0.38961038961038963,0.36363636363636365,0.0,0.5384615384615384,0.47058823529411764,0.0,0.35714285714285715,-0.24029618753167464,0.15222915399457898,0.43506493506493504,0.6592481048363401,0.8333333333333334,0.8116883116883117,1.0,0.8571428571428571,0.8888888888888888,0.88,0.7692307692307693,0.8193979933110368,0.6700593942604899,0.31546263222406906,0.9090909090909091,0.9461760461760462,50,50,50,50,50,50,50,50,50,50,50,50,6.269942045211792
minkowski_p3_fuzzy_confidence_uniform_k21,minkowski_p3,fuzzy_confidence,uniform,21,0.6200000000000001,0.5841558441558442,0.7454545454545454,0.42285714285714276,0.6730672693319751,0.6972953267259903,0.4476267262149614,0.572461026470476,0.18575147720305246,0.21252737413721423,0.7141558441558442,0.8337479752867454,0.09807931241762163,0.09659939170346837,0.1713104669905574,0.19352276883477057,0.07623877928264039,0.10522082579928163,0.16118687903514697,0.10795127762427283,0.21629382557590102,0.02721591740584803,0.11207603176319093,0.0665157803987369,0.4444444444444444,0.43506493506493504,0.2727272727272727,0.0,0.5555555555555556,0.4,0.0,0.35714285714285715,-0.19347649748797374,0.15321051422812693,0.4415584415584416,0.6884532134532135,0.8333333333333334,0.8376623376623377,1.0,0.8571428571428571,0.9,0.88,0.8,0.8285714285714285,0.6700593942604899,0.27173504670319254,0.974025974025974,0.9860139860139859,50,50,50,50,50,50,50,50,50,50,50,50,6.3379435539245605
minkowski_p3_fuzzy_confidence_inverse_distance_k1,minkowski_p3,fuzzy_confidence,inverse_distance,1,0.6322222222222222,0.605064935064935,0.7272727272727273,0.4828571428571429,0.6920663225663226,0.7011371414753566,0.49676063479004656,0.5989488881327015,0.22239053078777407,0.3677777777777777,0.605064935064935,0.6725926750017659,0.09582491172040405,0.09604307858520841,0.15033554419208087,0.17529650017544826,0.07114795108969804,0.0946345743962894,0.14495829180315253,0.10396776948722662,0.20854505020666353,0.09582491172040405,0.09604307858520843,0.05666005705509099,0.4444444444444444,0.36363636363636365,0.36363636363636365,0.0,0.5333333333333333,0.5,0.0,0.3076923076923077,-0.3567530340063379,0.1111111111111111,0.36363636363636365,0.5545454545454546,0.8888888888888888,0.8571428571428572,1.0,0.8571428571428571,0.8461538461538461,0.9166666666666666,0.8333333333333334,0.875,0.7774288420142416,0.5555555555555556,0.8571428571428572,0.8461538461538461,50,50,50,50,50,50,50,50,50,50,50,50,5.004823923110962
minkowski_p3_fuzzy_confidence_inverse_distance_k3,minkowski_p3,fuzzy_confidence,inverse_distance,3,0.6099999999999999,0.5925974025974026,0.6709090909090909,0.5142857142857143,0.6867049062049062,0.6696467231108233,0.4998325348542067,0.584739628982515,0.1947320718639873,0.2698459778747162,0.6668831168831169,0.7922437124669744,0.10676889470153446,0.10451388355032672,0.1662033251348569,0.1779142425934969,0.09993491738582094,0.11352936460063931,0.13132077558323071,0.10667683469006366,0.21815933190968703,0.07475610091881632,0.1247827442752061,0.08419596272267639,0.3333333333333333,0.35064935064935066,0.2727272727272727,0.14285714285714285,0.42857142857142855,0.3333333333333333,0.16666666666666666,0.3333333333333333,-0.2987012987012987,0.13558338410278045,0.35064935064935066,0.5915059687786961,0.8333333333333334,0.8181818181818181,1.0,1.0,1.0,0.8695652173913043,0.7777777777777778,0.8193979933110368,0.6446583712203042,0.4786826407139253,0.8766233766233766,0.9176448551448552,50,50,50,50,50,50,50,50,50,50,50,50,6.271394491195679
