config_id,Macro_F1_mean_39,Macro_F1_mean_37,delta_mean_37_minus_39,delta_std,delta_se,delta_ci95_half,delta_ci95_low,delta_ci95_high,wilcoxon_p,n_folds_positive_delta,n_folds_negative_delta,is_exp3_winner,is_exp4_winner
cosine_fuzzy_confidence_inverse_distance_k5,0.5624731510098114,0.5660084974220726,0.0035353464122612056,0.09091425447231508,0.01285721716877868,0.02583754524077054,-0.022302198828509333,0.029372891653031745,0.7656613654706436,20,21,False,False
cosine_fuzzy_confidence_uniform_k11,0.5909044650483203,0.5942870891865645,0.003382624138244248,0.10712877811511014,0.015150297093084677,0.030445661873414066,-0.02706303773516982,0.03382828601165831,0.844767697465625,21,17,False,False
euclidean_rigid_uniform_k9,0.6194798652233435,0.6228440278195901,0.0033641625962465447,0.07450415842974921,0.010536479130454508,0.0211738475470904,-0.017809684950843854,0.024538010143336945,0.7060633143167403,19,19,False,False
cosine_rigid_inverse_distance_k3,0.5652838766546465,0.5679025381925773,0.00261866153793063,0.08474762013285035,0.011985123377072013,0.02408500715250268,-0.02146634561457205,0.026703668690433308,0.9297267094512076,13,18,False,False
euclidean_rigid_inverse_distance_k11,0.6056384439812492,0.6081400808290635,0.002501636847814217,0.1002564617139727,0.014178404787143915,0.028492571162239074,-0.025990934314424858,0.03099420801005329,0.608703485423119,19,22,False,False
minkowski_p3_rigid_inverse_distance_k11,0.6113326019971465,0.6137439250023246,0.0024113230051781565,0.08341329034392406,0.011796420648654212,0.023705794822295543,-0.021294471817117386,0.0261171178274737,0.8792675705704591,17,16,False,False
manhattan_rigid_uniform_k5,0.5723527330962114,0.5728154004603055,0.00046266736409419587,0.07946515869448322,0.011238070516186843,0.022583748222441285,-0.02212108085834709,0.02304641558653548,0.9501318963589409,15,18,False,False
cosine_fuzzy_confidence_uniform_k9,0.5917697901410045,0.592214644372593,0.0004448542315884074,0.10389808187066747,0.014693407648604813,0.029527508159681595,-0.02908265392809319,0.02997236239127,0.8752515075782454,21,22,False,False
manhattan_rigid_inverse_distance_k3,0.5814098018048618,0.5814874422153329,7.764041047120807e-05,0.06889508873756534,0.009743236887356278,0.01957976757831534,-0.019502127167844132,0.01965740798878655,0.9216843098970718,17,16,False,False
minkowski_p3_fuzzy_confidence_uniform_k7,0.5659095678213393,0.5656275084950546,-0.00028205932628466604,0.10314477714199011,0.014586874272215281,0.029313421324561422,-0.02959548065084609,0.029031361998276755,0.9551282022255906,23,19,False,False
