config_id,split_id,accuracy,balanced_accuracy,sensitivity,specificity,precision_yes,F1_yes,F1_no,Macro_F1,MCC,Brier,ROC_AUC,PR_AUC,tp,fp,tn,fn
euclidean_rigid_uniform_k1,11,0.6111111111111112,0.577922077922078,0.7272727272727273,0.42857142857142855,0.6666666666666666,0.6956521739130435,0.46153846153846156,0.5785953177257526,0.16116459280507606,0.3888888888888889,0.577922077922078,0.6515151515151515,8,4,3,3
euclidean_rigid_uniform_k1,12,0.6666666666666666,0.6493506493506493,0.7272727272727273,0.5714285714285714,0.7272727272727273,0.7272727272727273,0.5714285714285714,0.6493506493506493,0.2987012987012987,0.3333333333333333,0.6493506493506493,0.6955922865013774,8,3,4,3
euclidean_rigid_uniform_k1,13,0.7222222222222222,0.6688311688311688,0.9090909090909091,0.42857142857142855,0.7142857142857143,0.8,0.5454545454545454,0.6727272727272727,0.3959441875175622,0.2777777777777778,0.6688311688311688,0.7049062049062049,10,4,3,1
euclidean_rigid_uniform_k1,14,0.6111111111111112,0.551948051948052,0.8181818181818182,0.2857142857142857,0.6428571428571429,0.72,0.36363636363636365,0.5418181818181818,0.12182898077463453,0.3888888888888889,0.551948051948052,0.6370851370851371,9,5,2,2
euclidean_rigid_uniform_k1,15,0.7222222222222222,0.6688311688311688,0.9090909090909091,0.42857142857142855,0.7142857142857143,0.8,0.5454545454545454,0.6727272727272727,0.3959441875175622,0.2777777777777778,0.6688311688311688,0.7049062049062049,10,4,3,1
euclidean_rigid_uniform_k1,16,0.6666666666666666,0.5974025974025974,0.9090909090909091,0.2857142857142857,0.6666666666666666,0.7692307692307693,0.4,0.5846153846153846,0.2548235957188128,0.3333333333333333,0.5974025974025974,0.6616161616161615,10,5,2,1
euclidean_rigid_uniform_k1,17,0.5555555555555556,0.5064935064935066,0.7272727272727273,0.2857142857142857,0.6153846153846154,0.6666666666666666,0.3333333333333333,0.5,0.01413506985480439,0.4444444444444444,0.5064935064935066,0.6142191142191142,8,5,2,3
euclidean_rigid_uniform_k1,18,0.7777777777777778,0.7402597402597402,0.9090909090909091,0.5714285714285714,0.7692307692307693,0.8333333333333334,0.6666666666666666,0.75,0.5229975846277625,0.2222222222222222,0.7402597402597402,0.7548562548562548,10,3,4,1
euclidean_rigid_uniform_k1,19,0.7222222222222222,0.6948051948051948,0.8181818181818182,0.5714285714285714,0.75,0.782608695652174,0.6153846153846154,0.6989966555183946,0.4029114820126901,0.2777777777777778,0.6948051948051949,0.7247474747474747,9,3,4,2
euclidean_rigid_uniform_k1,20,0.5,0.487012987012987,0.5454545454545454,0.42857142857142855,0.6,0.5714285714285714,0.4,0.4857142857142857,-0.025482359571881278,0.5,0.487012987012987,0.6050505050505051,6,4,3,5
euclidean_rigid_uniform_k1,21,0.6666666666666666,0.6493506493506493,0.7272727272727273,0.5714285714285714,0.7272727272727273,0.7272727272727273,0.5714285714285714,0.6493506493506493,0.2987012987012987,0.3333333333333333,0.6493506493506493,0.6955922865013774,8,3,4,3
euclidean_rigid_uniform_k1,22,0.5555555555555556,0.5324675324675324,0.6363636363636364,0.42857142857142855,0.6363636363636364,0.6363636363636364,0.42857142857142855,0.5324675324675324,0.06493506493506493,0.4444444444444444,0.5324675324675324,0.6271808999081726,7,4,3,4
euclidean_rigid_uniform_k1,23,0.5555555555555556,0.5584415584415584,0.5454545454545454,0.5714285714285714,0.6666666666666666,0.6,0.5,0.55,0.11396057645963795,0.4444444444444444,0.5584415584415584,0.6414141414141414,6,3,4,5
euclidean_rigid_uniform_k1,24,0.7222222222222222,0.6688311688311688,0.9090909090909091,0.42857142857142855,0.7142857142857143,0.8,0.5454545454545454,0.6727272727272727,0.3959441875175622,0.2777777777777778,0.6688311688311688,0.7049062049062049,10,4,3,1
euclidean_rigid_uniform_k1,25,0.6666666666666666,0.6753246753246753,0.6363636363636364,0.7142857142857143,0.7777777777777778,0.7,0.625,0.6625,0.34188172937891387,0.3333333333333333,0.6753246753246753,0.7171717171717172,7,2,5,4
euclidean_rigid_uniform_k1,26,0.6111111111111112,0.6038961038961039,0.6363636363636364,0.5714285714285714,0.7,0.6666666666666666,0.5333333333333333,0.6,0.20385887657505022,0.3888888888888889,0.6038961038961038,0.6676767676767676,7,3,4,4
euclidean_rigid_uniform_k1,27,0.6666666666666666,0.7012987012987013,0.5454545454545454,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4025974025974026,0.3333333333333333,0.7012987012987013,0.7453102453102454,6,1,6,5
euclidean_rigid_uniform_k1,28,0.7222222222222222,0.6948051948051948,0.8181818181818182,0.5714285714285714,0.75,0.782608695652174,0.6153846153846154,0.6989966555183946,0.4029114820126901,0.2777777777777778,0.6948051948051949,0.7247474747474747,9,3,4,2
euclidean_rigid_uniform_k1,29,0.7222222222222222,0.7207792207792207,0.7272727272727273,0.7142857142857143,0.8,0.7619047619047619,0.6666666666666666,0.7142857142857142,0.4332001127219817,0.2777777777777778,0.7207792207792209,0.7484848484848485,8,2,5,3
euclidean_rigid_uniform_k1,30,0.6111111111111112,0.577922077922078,0.7272727272727273,0.42857142857142855,0.6666666666666666,0.6956521739130435,0.46153846153846156,0.5785953177257526,0.16116459280507606,0.3888888888888889,0.577922077922078,0.6515151515151515,8,4,3,3
euclidean_rigid_uniform_k1,31,0.5555555555555556,0.48051948051948057,0.8181818181818182,0.14285714285714285,0.6,0.6923076923076923,0.2,0.4461538461538461,-0.050964719143762556,0.4444444444444444,0.48051948051948057,0.602020202020202,9,6,1,2
euclidean_rigid_uniform_k1,32,0.6666666666666666,0.7012987012987013,0.5454545454545454,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4025974025974026,0.3333333333333333,0.7012987012987013,0.7453102453102454,6,1,6,5
euclidean_rigid_uniform_k1,33,0.5,0.512987012987013,0.45454545454545453,0.5714285714285714,0.625,0.5263157894736842,0.47058823529411764,0.4984520123839009,0.025482359571881278,0.5,0.512987012987013,0.6174242424242424,5,3,4,6
euclidean_rigid_uniform_k1,34,0.7777777777777778,0.7402597402597402,0.9090909090909091,0.5714285714285714,0.7692307692307693,0.8333333333333334,0.6666666666666666,0.75,0.5229975846277625,0.2222222222222222,0.7402597402597402,0.7548562548562548,10,3,4,1
euclidean_rigid_uniform_k1,35,0.4444444444444444,0.44155844155844154,0.45454545454545453,0.42857142857142855,0.5555555555555556,0.5,0.375,0.4375,-0.11396057645963795,0.5555555555555556,0.4415584415584416,0.5858585858585859,5,4,3,6
euclidean_rigid_uniform_k1,36,0.7777777777777778,0.7922077922077921,0.7272727272727273,0.8571428571428571,0.8888888888888888,0.8,0.75,0.775,0.5698028822981898,0.2222222222222222,0.7922077922077922,0.813131313131313,8,1,6,3
euclidean_rigid_uniform_k1,37,0.6666666666666666,0.6233766233766234,0.8181818181818182,0.42857142857142855,0.6923076923076923,0.75,0.5,0.625,0.26856632724128343,0.3333333333333333,0.6233766233766235,0.6775446775446775,9,4,3,2
euclidean_rigid_uniform_k1,38,0.6666666666666666,0.6493506493506493,0.7272727272727273,0.5714285714285714,0.7272727272727273,0.7272727272727273,0.5714285714285714,0.6493506493506493,0.2987012987012987,0.3333333333333333,0.6493506493506493,0.6955922865013774,8,3,4,3
euclidean_rigid_uniform_k1,39,0.5555555555555556,0.6103896103896104,0.36363636363636365,0.8571428571428571,0.8,0.5,0.6,0.55,0.24029618753167464,0.4444444444444444,0.6103896103896105,0.6797979797979798,4,1,6,7
euclidean_rigid_uniform_k1,40,0.5,0.461038961038961,0.6363636363636364,0.2857142857142857,0.5833333333333334,0.6086956521739131,0.3076923076923077,0.4581939799331104,-0.08058229640253803,0.5,0.461038961038961,0.5934343434343434,7,5,2,4
euclidean_rigid_uniform_k1,41,0.5,0.461038961038961,0.6363636363636364,0.2857142857142857,0.5833333333333334,0.6086956521739131,0.3076923076923077,0.4581939799331104,-0.08058229640253803,0.5,0.461038961038961,0.5934343434343434,7,5,2,4
euclidean_rigid_uniform_k1,42,0.5,0.43506493506493504,0.7272727272727273,0.14285714285714285,0.5714285714285714,0.64,0.18181818181818182,0.4109090909090909,-0.15228622596829317,0.5,0.4350649350649351,0.5822510822510822,8,6,1,3
euclidean_rigid_uniform_k1,43,0.7222222222222222,0.6688311688311688,0.9090909090909091,0.42857142857142855,0.7142857142857143,0.8,0.5454545454545454,0.6727272727272727,0.3959441875175622,0.2777777777777778,0.6688311688311688,0.7049062049062049,10,4,3,1
euclidean_rigid_uniform_k1,44,0.6666666666666666,0.6493506493506493,0.7272727272727273,0.5714285714285714,0.7272727272727273,0.7272727272727273,0.5714285714285714,0.6493506493506493,0.2987012987012987,0.3333333333333333,0.6493506493506493,0.6955922865013774,8,3,4,3
euclidean_rigid_uniform_k1,45,0.5555555555555556,0.5324675324675324,0.6363636363636364,0.42857142857142855,0.6363636363636364,0.6363636363636364,0.42857142857142855,0.5324675324675324,0.06493506493506493,0.4444444444444444,0.5324675324675324,0.6271808999081726,7,4,3,4
euclidean_rigid_uniform_k1,46,0.7777777777777778,0.7662337662337663,0.8181818181818182,0.7142857142857143,0.8181818181818182,0.8181818181818182,0.7142857142857143,0.7662337662337663,0.5324675324675324,0.2222222222222222,0.7662337662337664,0.7805325987144169,9,2,5,2
euclidean_rigid_uniform_k1,47,0.6111111111111112,0.6038961038961039,0.6363636363636364,0.5714285714285714,0.7,0.6666666666666666,0.5333333333333333,0.6,0.20385887657505022,0.3888888888888889,0.6038961038961038,0.6676767676767676,7,3,4,4
euclidean_rigid_uniform_k1,48,0.6666666666666666,0.6233766233766234,0.8181818181818182,0.42857142857142855,0.6923076923076923,0.75,0.5,0.625,0.26856632724128343,0.3333333333333333,0.6233766233766235,0.6775446775446775,9,4,3,2
euclidean_rigid_uniform_k1,49,0.5,0.512987012987013,0.45454545454545453,0.5714285714285714,0.625,0.5263157894736842,0.47058823529411764,0.4984520123839009,0.025482359571881278,0.5,0.512987012987013,0.6174242424242424,5,3,4,6
euclidean_rigid_uniform_k3,0,0.6111111111111112,0.6038961038961039,0.6363636363636364,0.5714285714285714,0.7,0.6666666666666666,0.5333333333333333,0.6,0.20385887657505022,0.2098765432098766,0.7077922077922078,0.7898395721925133,7,3,4,4
euclidean_rigid_uniform_k3,1,0.7222222222222222,0.7207792207792207,0.7272727272727273,0.7142857142857143,0.8,0.7619047619047619,0.6666666666666666,0.7142857142857142,0.4332001127219817,0.19753086419753088,0.7727272727272727,0.841919191919192,8,2,5,3
euclidean_rigid_uniform_k3,2,0.5,0.487012987012987,0.5454545454545454,0.42857142857142855,0.6,0.5714285714285714,0.4,0.4857142857142857,-0.025482359571881278,0.3703703703703704,0.5454545454545454,0.7439005439005439,6,4,3,5
euclidean_rigid_uniform_k3,3,0.7222222222222222,0.6948051948051948,0.8181818181818182,0.5714285714285714,0.75,0.782608695652174,0.6153846153846154,0.6989966555183946,0.4029114820126901,0.19753086419753088,0.7857142857142857,0.8590314913844326,9,3,4,2
euclidean_rigid_uniform_k3,4,0.4444444444444444,0.38961038961038963,0.6363636363636364,0.14285714285714285,0.5384615384615384,0.5833333333333334,0.16666666666666666,0.375,-0.24029618753167464,0.3333333333333333,0.4935064935064935,0.6537456008044245,7,6,1,4
euclidean_rigid_uniform_k3,5,0.7222222222222222,0.6948051948051948,0.8181818181818182,0.5714285714285714,0.75,0.782608695652174,0.6153846153846154,0.6989966555183946,0.4029114820126901,0.19753086419753085,0.7467532467532468,0.7691622103386809,9,3,4,2
euclidean_rigid_uniform_k3,6,0.6666666666666666,0.5974025974025974,0.9090909090909091,0.2857142857142857,0.6666666666666666,0.7692307692307693,0.4,0.5846153846153846,0.2548235957188128,0.17901234567901236,0.8246753246753247,0.8737373737373737,10,5,2,1
euclidean_rigid_uniform_k3,7,0.5,0.512987012987013,0.45454545454545453,0.5714285714285714,0.625,0.5263157894736842,0.47058823529411764,0.4984520123839009,0.025482359571881278,0.29629629629629634,0.525974025974026,0.6752079619726679,5,3,4,6
euclidean_rigid_uniform_k3,8,0.5,0.461038961038961,0.6363636363636364,0.2857142857142857,0.5833333333333334,0.6086956521739131,0.3076923076923077,0.4581939799331104,-0.08058229640253803,0.33333333333333326,0.5844155844155844,0.7339466089466089,7,5,2,4
euclidean_rigid_uniform_k3,9,0.7777777777777778,0.7402597402597402,0.9090909090909091,0.5714285714285714,0.7692307692307693,0.8333333333333334,0.6666666666666666,0.75,0.5229975846277625,0.1419753086419753,0.8831168831168831,0.8889462809917354,10,3,4,1
euclidean_rigid_uniform_k3,10,0.6111111111111112,0.6038961038961039,0.6363636363636364,0.5714285714285714,0.7,0.6666666666666666,0.5333333333333333,0.6,0.20385887657505022,0.20370370370370375,0.7272727272727272,0.8171122994652407,7,3,4,4
