config,fold,valid_structure,t1,t2,n_nodes,n_leaves,moe_abs,f1_macro
tree_balanced,1,True,0.01892013195902109,0.32727496325969696,5,3,0.4305555555555555,0.16984126984126982
tree_balanced,2,True,0.4040745049715042,0.6350454092025757,5,3,0.40598290598290593,0.17857142857142858
tree_balanced,3,True,0.04780464991927147,0.5347196459770203,5,3,0.3861111111111111,0.393939393939394
tree_balanced,4,True,0.39970460534095764,0.5386154353618622,5,3,0.5808080808080808,0.0392156862745098
tree_balanced,5,True,0.13264857977628708,0.18956316262483597,5,3,0.351010101010101,0.27933177933177933
tree_balanced,6,True,0.1481999158859253,0.35574717819690704,5,3,0.20833333333333334,0.5188729399255715
tree_balanced,7,True,0.05005807615816593,0.23742329329252243,5,3,0.42676767676767674,0.22222222222222224
tree_balanced,8,True,0.2930615246295929,0.36439190804958344,5,3,0.6515151515151515,0.12121212121212122
tree_balanced,9,True,0.08788616955280304,0.5185515880584717,5,3,0.46923076923076923,0.08333333333333333
tree_balanced,10,True,0.36939431726932526,0.45074857771396637,5,3,0.39999999999999997,0.22875816993464052
tree_balanced,11,True,0.20895744115114212,0.3363962769508362,5,3,0.3645833333333333,0.23737373737373735
tree_balanced,12,True,0.3537263423204422,0.5589942038059235,5,3,0.35185185185185186,0.12698412698412698
tree_balanced,13,True,0.39969566464424133,0.526072770357132,5,3,0.6875,0.0392156862745098
tree_balanced,14,True,0.2949725538492203,0.4227449744939804,5,3,0.6136363636363636,0.13333333333333333
tree_balanced,15,True,0.12781542539596558,0.1914609968662262,5,3,0.42948717948717946,0.13095238095238096
tree_balanced,16,True,0.017465032637119293,0.14268872886896133,5,3,0.32371794871794873,0.19576719576719573
tree_balanced,17,True,0.11884148418903351,0.5072748512029648,5,3,0.3134920634920635,0.17905982905982906
tree_balanced,18,True,0.3944174647331238,0.5600403845310211,5,3,0.4583333333333333,0.1111111111111111
tree_balanced,19,True,0.0923524908721447,0.1310148909687996,5,3,0.39365079365079364,0.2679738562091503
tree_balanced,20,True,0.2705569267272949,0.563175231218338,5,3,0.5833333333333334,0.11764705882352942
tree_balanced,21,True,0.16770531982183456,0.39955398440361023,5,3,0.40277777777777773,0.37566137566137564
tree_balanced,22,True,0.013404963072389364,0.06197880767285824,5,3,0.44658119658119655,0.1568627450980392
tree_balanced,23,True,0.022545086219906807,0.14139127731323242,5,3,0.23989898989898992,0.28654970760233917
tree_balanced,24,True,0.06164027005434036,0.399314820766449,5,3,0.35555555555555557,0.23148148148148148
tree_balanced,25,True,0.0172604164108634,0.399746373295784,5,3,0.4287878787878787,0.3333333333333333
tree_balanced,26,True,0.3604362905025482,0.6260374784469604,5,3,0.398989898989899,0.24338624338624337
tree_balanced,27,True,0.05731037259101868,0.0936444103717804,5,3,0.3606060606060606,0.44268774703557306
tree_balanced,28,True,0.3369370400905609,0.5134213268756866,5,3,0.4166666666666667,0.38974358974358975
tree_balanced,29,True,0.021111099049448967,0.05697355046868324,5,3,0.39999999999999997,0.39337474120082816
tree_balanced,30,True,0.05843482166528702,0.3359181731939316,5,3,0.26851851851851855,0.35714285714285715
tree_balanced,31,True,0.16727519035339355,0.3998154550790787,5,3,0.6190476190476191,0.2318840579710145
tree_balanced,32,True,0.32324910163879395,0.6265107095241547,5,3,0.5648148148148148,0.09999999999999999
tree_balanced,33,True,0.05176534131169319,0.4718175083398819,5,3,0.2857142857142857,0.3532163742690058
tree_balanced,34,True,0.020758536644279957,0.32780827581882477,5,3,0.5064102564102564,0.09523809523809523
tree_balanced,35,True,0.01335653942078352,0.18895737081766129,5,3,0.4611111111111111,0.19999999999999998
tree_balanced,36,True,0.023550422862172127,0.13148296624422073,5,3,0.31666666666666665,0.3481481481481481
tree_balanced,37,True,0.012935454957187176,0.01984978560358286,5,3,0.5128205128205129,0.26666666666666666
tree_balanced,38,True,0.02087480667978525,0.06569346226751804,5,3,0.4671717171717171,0.23650793650793653
tree_balanced,39,True,0.02505549881607294,0.08509650081396103,5,3,0.25,0.43968253968253973
tree_balanced,40,True,0.033428849652409554,0.10826990008354187,5,3,0.4761904761904762,0.3141025641025641
tree_balanced,41,True,0.018857531249523163,0.5519960522651672,5,3,0.37878787878787873,0.37333333333333335
tree_balanced,42,True,0.018850182183086872,0.356365829706192,5,3,0.3666666666666667,0.2619047619047619
tree_balanced,43,True,0.046069877222180367,0.41418348252773285,5,3,0.47222222222222227,0.3140096618357488
tree_balanced,44,True,0.019286926835775375,0.3544005751609802,5,3,0.49621212121212127,0.1111111111111111
tree_balanced,45,True,0.13510532677173615,0.3183221220970154,5,3,0.3151515151515151,0.2841269841269841
tree_balanced,46,True,0.12502823770046234,0.3577530235052109,5,3,0.5694444444444445,0.16526610644257703
tree_balanced,47,True,0.06216295622289181,0.32026492059230804,5,3,0.23076923076923075,0.2717948717948718
tree_balanced,48,True,0.07447106763720512,0.12557696551084518,5,3,0.5256410256410257,0.20000000000000004
tree_balanced,49,True,0.4018440991640091,0.538113921880722,5,3,0.4666666666666666,0.1606060606060606
