cfg_id,k,weights,metric,mean_macro_f1,std_macro_f1,mean_acc,mean_sens,mean_spec
28,9,distance,manhattan,0.5601418663878183,0.10559574037419586,0.6494444444444446,0.8863636363636361,0.2771428571428571
27,9,distance,euclidean,0.5594287545399239,0.10296404029762561,0.6527777777777779,0.8963636363636363,0.2699999999999999
41,13,distance,cosine,0.5549220328785546,0.09731721840106383,0.6400000000000001,0.8681818181818182,0.28142857142857136
34,11,distance,manhattan,0.5511274522994912,0.09259205170983868,0.648888888888889,0.8999999999999999,0.2542857142857142
47,15,distance,cosine,0.5484676662999385,0.09429164385884263,0.6372222222222224,0.8699999999999999,0.27142857142857135
25,9,uniform,manhattan,0.5471247236022349,0.10211684442390567,0.6522222222222225,0.9127272727272725,0.24285714285714277
59,21,distance,cosine,0.5465444635075069,0.09538369424297909,0.6372222222222225,0.8745454545454544,0.2642857142857142
53,17,distance,cosine,0.5447867743769917,0.09414278783955568,0.6344444444444446,0.8681818181818179,0.26714285714285707
65,25,distance,cosine,0.5418095162486467,0.09405440250900891,0.633888888888889,0.8736363636363634,0.25714285714285706
20,7,uniform,cosine,0.5417275322129145,0.10461554058153189,0.6444444444444446,0.8990909090909089,0.2442857142857142
24,9,uniform,euclidean,0.5404267130642693,0.09842774545471107,0.6505555555555557,0.9199999999999998,0.2271428571428571
31,11,uniform,manhattan,0.5400581171840542,0.10225624987666553,0.658888888888889,0.9409090909090909,0.21571428571428564
40,13,distance,manhattan,0.5399061273697705,0.0985979694046257,0.6466666666666667,0.9099999999999998,0.23285714285714276
46,15,distance,manhattan,0.5384592980177687,0.09718689260305394,0.6477777777777779,0.919090909090909,0.2214285714285714
26,9,uniform,cosine,0.535699826468717,0.10603115681785559,0.6572222222222223,0.9409090909090908,0.21142857142857135
33,11,distance,euclidean,0.5343076640778289,0.0938350717334237,0.6416666666666667,0.9036363636363636,0.22999999999999993
37,13,uniform,manhattan,0.5269381963502652,0.09681747902409711,0.6527777777777779,0.9436363636363636,0.19571428571428565
39,13,distance,euclidean,0.5259036121327725,0.09865084953907154,0.64,0.9109090909090908,0.21428571428571425
51,17,distance,euclidean,0.5247161597162345,0.096715470240354,0.6400000000000001,0.9154545454545453,0.20714285714285707
45,15,distance,euclidean,0.5224992526297623,0.09694290733149098,0.6366666666666667,0.9081818181818181,0.20999999999999994
52,17,distance,manhattan,0.5218941736923746,0.1011018431296464,0.6444444444444446,0.9318181818181818,0.1928571428571428
32,11,uniform,cosine,0.519666215904147,0.10224123944343014,0.6483333333333334,0.9372727272727271,0.19428571428571423
30,11,uniform,euclidean,0.5181163617852523,0.10261208309647794,0.645,0.9336363636363635,0.19142857142857136
57,21,distance,euclidean,0.5154459267286103,0.09231160910368894,0.6405555555555558,0.9309090909090908,0.18428571428571425
63,25,distance,euclidean,0.5102169009789699,0.09155805343153801,0.6444444444444446,0.9463636363636361,0.16999999999999996
43,15,uniform,manhattan,0.5083674292501879,0.0940913972318053,0.6494444444444446,0.9618181818181817,0.15857142857142853
36,13,uniform,euclidean,0.5009767008991897,0.10505949476592684,0.6405555555555555,0.9418181818181816,0.16714285714285712
42,15,uniform,euclidean,0.497137045371753,0.10432353006744813,0.6383333333333333,0.9436363636363636,0.15857142857142853
38,13,uniform,cosine,0.48424043275287654,0.10200689784115446,0.6305555555555555,0.9409090909090909,0.14285714285714282
48,17,uniform,euclidean,0.4829624144055178,0.1066106685332622,0.6333333333333333,0.9518181818181817,0.13285714285714284
58,21,distance,manhattan,0.48264025980405295,0.09745719004026362,0.633888888888889,0.9527272727272726,0.13285714285714284
54,21,uniform,euclidean,0.4768924403820956,0.09235329328623482,0.6416666666666667,0.9781818181818183,0.11285714285714282
56,21,uniform,cosine,0.47323838906942356,0.10180496192611367,0.6383333333333333,0.9709090909090906,0.11571428571428567
62,25,uniform,cosine,0.4703265616886307,0.1005437826037911,0.6433333333333334,0.9854545454545455,0.10571428571428569
50,17,uniform,cosine,0.46996508061043296,0.09540301352104097,0.6205555555555556,0.9336363636363636,0.12857142857142856
44,15,uniform,cosine,0.46938742935669475,0.09502484863340858,0.6211111111111112,0.9345454545454543,0.12857142857142853
60,25,uniform,euclidean,0.46163035183207596,0.08876398477737171,0.6383333333333335,0.9845454545454545,0.09428571428571426
49,17,uniform,manhattan,0.4597740000102069,0.08495803527747943,0.6333333333333334,0.9754545454545454,0.0957142857142857
64,25,distance,manhattan,0.4546269975873424,0.08930448688617731,0.6233333333333334,0.958181818181818,0.09714285714285711
55,21,uniform,manhattan,0.43168974990526715,0.07664820300551839,0.6300000000000001,0.9945454545454546,0.05714285714285714
61,25,uniform,manhattan,0.4075545555976591,0.06031248211290366,0.6200000000000001,0.9945454545454545,0.03142857142857143
