cfg_id,sigma_scale,x_train,y_train,kernel_trainable,mean_macro_f1,std_macro_f1,condition
15,1.0,True,True,True,0.4968745005687293,0.10777630295636365,mri_txt
2,0.5,False,True,False,0.4965264679099012,0.1048919468080566,mri_txt
10,1.0,False,True,False,0.4946849237053136,0.1022947110899162,mri_txt
8,1.0,False,False,False,0.4894802513384222,0.10205322525170003,mri_txt
7,0.5,True,True,True,0.4833822397686715,0.0985662247226031,mri_txt
5,0.5,True,False,True,0.47916383646061306,0.0969571448148731,mri_txt
1,0.5,False,False,True,0.4750776945831669,0.09031738397011817,mri_txt
3,0.5,False,True,True,0.47328413075347114,0.10154778751951125,mri_txt
17,2.0,False,False,True,0.4626064732480026,0.08975594086440117,mri_txt
19,2.0,False,True,True,0.4593249275129335,0.08711551765302511,mri_txt
16,2.0,False,False,False,0.43638555138570134,0.08003682214943843,mri_txt
18,2.0,False,True,False,0.434520011625334,0.08196691440254686,mri_txt
21,2.0,True,False,True,0.6034803815235232,0.10463196296139231,tab_mri_txt
23,2.0,True,True,True,0.5942469653020634,0.10167577336086472,tab_mri_txt
20,2.0,True,False,False,0.5901386248212335,0.10993377486020578,tab_mri_txt
22,2.0,True,True,False,0.5865562277899234,0.107597009056525,tab_mri_txt
19,2.0,False,True,True,0.5595030874006885,0.10163558702287882,tab_mri_txt
17,2.0,False,False,True,0.5526385632913369,0.10038622797811562,tab_mri_txt
16,2.0,False,False,False,0.5478994699231581,0.10111222410388782,tab_mri_txt
18,2.0,False,True,False,0.5461506585091292,0.10209316752868414,tab_mri_txt
12,1.0,True,False,False,0.5445241977163267,0.11953914106615002,tab_mri_txt
13,1.0,True,False,True,0.5343297042468332,0.11459146976624458,tab_mri_txt
14,1.0,True,True,False,0.5271593159940247,0.11022405807238125,tab_mri_txt
15,1.0,True,True,True,0.5230810976230785,0.11535590567635001,tab_mri_txt
8,1.0,False,False,False,0.5221391328616967,0.1099076392273129,tab_mri_txt
10,1.0,False,True,False,0.5210373520338288,0.11076321617878673,tab_mri_txt
11,1.0,False,True,True,0.5205214022026615,0.1187039683563545,tab_mri_txt
9,1.0,False,False,True,0.519355172673577,0.1192535432084783,tab_mri_txt
7,0.5,True,True,True,0.4270488485971245,0.07280407856272962,tab_mri_txt
6,0.5,True,True,False,0.4256053112915182,0.0827508341542646,tab_mri_txt
4,0.5,True,False,False,0.4255555697814318,0.08521876657763643,tab_mri_txt
2,0.5,False,True,False,0.4247814674608527,0.08524625566667816,tab_mri_txt
0,0.5,False,False,False,0.4246925367597032,0.08452427418995434,tab_mri_txt
5,0.5,True,False,True,0.4226436286574217,0.07165370675194681,tab_mri_txt
1,0.5,False,False,True,0.41878126005539806,0.06886467168915733,tab_mri_txt
3,0.5,False,True,True,0.4179250567440222,0.07143258236398915,tab_mri_txt
21,2.0,True,False,True,0.5991018341449759,0.10810092280881138,confidence_arm
23,2.0,True,True,True,0.5925394274695257,0.10351028516289794,confidence_arm
20,2.0,True,False,False,0.5883009635694418,0.11091892770350721,confidence_arm
22,2.0,True,True,False,0.586593693303476,0.10826359568085313,confidence_arm
19,2.0,False,True,True,0.5584281845257857,0.0998970585489034,confidence_arm
17,2.0,False,False,True,0.549495812336367,0.10227141107753658,confidence_arm
18,2.0,False,True,False,0.5471819975404683,0.1019555075648803,confidence_arm
16,2.0,False,False,False,0.544592635547583,0.10314088774599348,confidence_arm
15,1.0,True,True,True,0.5373678928961538,0.11707196598250959,confidence_arm
14,1.0,True,True,False,0.5309638536320694,0.11231655019259656,confidence_arm
10,1.0,False,True,False,0.5233756539895221,0.10909517754271737,confidence_arm
8,1.0,False,False,False,0.5232926756415887,0.10706483100433749,confidence_arm
9,1.0,False,False,True,0.5226935886577191,0.11309013289731813,confidence_arm
11,1.0,False,True,True,0.5199499404920693,0.12117449032950264,confidence_arm
12,1.0,True,False,False,0.5077323862530384,0.11488012055925992,confidence_arm
13,1.0,True,False,True,0.493479997150387,0.10691874161113339,confidence_arm
2,0.5,False,True,False,0.4306787706685008,0.08938551890857149,confidence_arm
0,0.5,False,False,False,0.42747185695641465,0.08720316161879876,confidence_arm
6,0.5,True,True,False,0.4240202028134561,0.0804068056188669,confidence_arm
4,0.5,True,False,False,0.4230420829489795,0.08164130050363239,confidence_arm
5,0.5,True,False,True,0.4205458013889048,0.07977686089782692,confidence_arm
3,0.5,False,True,True,0.42024296265675576,0.0719470948352306,confidence_arm
1,0.5,False,False,True,0.41922634306944645,0.07373727677547894,confidence_arm
7,0.5,True,True,True,0.41888330564709875,0.06942030363163394,confidence_arm
