config_name,c_fn,c_fp,lambda,threshold_mode,pooled_moe_abs,mean_moe_abs,std_moe_abs,pooled_f1_macro,mean_f1_macro,valid_structure_rate,has_zero_recall,rec_uncertain,rec_borderline,rec_clear,passes_all_gates
c_fn_0.50_lambda_1.00_mode_exact_free,0.5,0.5,1.0,exact_free,0.3497441841704137,0.3368077108077108,0.05021588425876484,0.1655421600296353,0.15474607420966285,1.0,False,0.015151515151503675,0.9125683060104304,0.07521367521366235,True
c_fn_0.50_lambda_1.00_mode_exact_balanced_min_recall,0.5,0.5,1.0,exact_balanced_min_recall,0.3589418777943368,0.34493394568394564,0.05538473808985603,0.20333053604778215,0.18898269422754546,1.0,False,0.03787878787875919,0.8251366120214071,0.13504273504271194,True
c_fn_0.65_lambda_0.00_mode_exact_free,0.65,0.35,0.0,exact_free,0.33290322306715747,0.3239196266696267,0.06262403068635733,0.3012486299960346,0.2560339859922711,1.0,False,0.1818181818180441,0.7868852459012095,0.21709401709397996,True
c_fn_0.65_lambda_0.00_mode_exact_balanced_min_recall,0.65,0.35,0.0,exact_balanced_min_recall,0.3315345553050471,0.3183477402227402,0.06647747278842715,0.3157059620744505,0.2784079051438184,1.0,False,0.22727272727255513,0.7650273224039535,0.22735042735038846,True
c_fn_0.65_lambda_0.25_mode_exact_free,0.65,0.35,0.25,exact_free,0.33586898832800466,0.32682862045362043,0.06107712135532641,0.25110815748221543,0.2172585761431501,1.0,False,0.12878787878778122,0.8032786885241513,0.15384615384612754,True
c_fn_0.65_lambda_0.25_mode_exact_balanced_min_recall,0.65,0.35,0.25,exact_balanced_min_recall,0.3355729425401557,0.32356860269360277,0.06745475389635121,0.27082557274998237,0.2485087499932701,1.0,False,0.1818181818180441,0.7759562841525814,0.16752136752133887,True
c_fn_0.65_lambda_0.50_mode_exact_free,0.65,0.35,0.5,exact_free,0.334913341060882,0.3241936905686906,0.06329430350281716,0.23252355733101515,0.21469455497265433,1.0,False,0.0606060606060147,0.8415300546443489,0.16410256410253604,True
c_fn_0.65_lambda_0.50_mode_exact_balanced_min_recall,0.65,0.35,0.5,exact_balanced_min_recall,0.34410455967833015,0.333309866059866,0.060966935668804643,0.2491605518201263,0.22949394155895708,1.0,False,0.12878787878778122,0.7540983606553257,0.1692307692307403,True
c_fn_0.65_lambda_0.75_mode_exact_free,0.65,0.35,0.75,exact_free,0.34394013697292386,0.3318461122211122,0.05218305969631577,0.17557766549800466,0.16686132484995053,1.0,False,0.015151515151503675,0.8907103825131746,0.09572649572647936,True
c_fn_0.65_lambda_0.75_mode_exact_balanced_min_recall,0.65,0.35,0.75,exact_balanced_min_recall,0.36470824257709505,0.3515729131979132,0.06398579076809602,0.1964605049723512,0.17977252967191049,1.0,False,0.03787878787875919,0.7704918032782675,0.13504273504271194,True
c_fn_0.65_lambda_1.00_mode_exact_free,0.65,0.35,1.0,exact_free,0.3497441841704137,0.3368077108077108,0.05021588425876484,0.1655421600296353,0.15474607420966285,1.0,False,0.015151515151503675,0.9125683060104304,0.07521367521366235,True
c_fn_0.65_lambda_1.00_mode_exact_balanced_min_recall,0.65,0.35,1.0,exact_balanced_min_recall,0.3589418777943368,0.34493394568394564,0.05538473808985603,0.20333053604778215,0.18898269422754546,1.0,False,0.03787878787875919,0.8251366120214071,0.13504273504271194,True
c_fn_0.80_lambda_0.00_mode_exact_free,0.8,0.2,0.0,exact_free,0.33552899741424325,0.32256345043845047,0.068701995050293,0.31275024400870305,0.27708897227070595,1.0,False,0.3030303030300735,0.715846994535128,0.20170940170936721,True
c_fn_0.80_lambda_0.00_mode_exact_balanced_min_recall,0.8,0.2,0.0,exact_balanced_min_recall,0.33376960016304275,0.3245725154475154,0.0723460665822603,0.32470744263885926,0.2906086025086025,1.0,False,0.3409090909088327,0.6885245901635583,0.21709401709397996,True
c_fn_0.80_lambda_0.25_mode_exact_free,0.8,0.2,0.25,exact_free,0.33921592978970033,0.3220740740740742,0.07081047595830536,0.284273895503711,0.24980869926999957,1.0,False,0.21969696969680327,0.7540983606553257,0.17606837606834597,True
c_fn_0.80_lambda_0.25_mode_exact_balanced_min_recall,0.8,0.2,0.25,exact_balanced_min_recall,0.34809433129105266,0.3319107651607651,0.07543417397811512,0.2931207598371777,0.2662862817150743,1.0,False,0.27272727272706615,0.6775956284149304,0.19487179487176154,True
c_fn_0.80_lambda_0.50_mode_exact_free,0.8,0.2,0.5,exact_free,0.3371646265088888,0.3260415649165649,0.06420537899409456,0.22574189095928224,0.21113736134990677,1.0,False,0.045454545454511025,0.8524590163929768,0.16239316239313462,True
c_fn_0.80_lambda_0.50_mode_exact_balanced_min_recall,0.8,0.2,0.5,exact_balanced_min_recall,0.3486910933632245,0.3347560448810449,0.07450201543447836,0.24573191122375346,0.23258125998528478,1.0,False,0.11363636363627756,0.7595628415296396,0.17264957264954311,True
c_fn_0.80_lambda_0.75_mode_exact_free,0.8,0.2,0.75,exact_free,0.34696354040616334,0.33410385447885443,0.055267535454602154,0.18155018719744406,0.1743377232365656,1.0,False,0.0075757575757518375,0.8579234972672908,0.1196581196580992,True
c_fn_0.80_lambda_0.75_mode_exact_balanced_min_recall,0.8,0.2,0.75,exact_balanced_min_recall,0.35893699500256876,0.3453750185000185,0.06872272183286451,0.19972177187435378,0.1872179892018363,1.0,False,0.03787878787875919,0.7814207650268955,0.1384615384615148,True
c_fn_0.80_lambda_1.00_mode_exact_free,0.8,0.2,1.0,exact_free,0.3497441841704137,0.3368077108077108,0.05021588425876484,0.1655421600296353,0.15474607420966285,1.0,False,0.015151515151503675,0.9125683060104304,0.07521367521366235,True
c_fn_0.80_lambda_1.00_mode_exact_balanced_min_recall,0.8,0.2,1.0,exact_balanced_min_recall,0.3589418777943368,0.34493394568394564,0.05538473808985603,0.20333053604778215,0.18898269422754546,1.0,False,0.03787878787875919,0.8251366120214071,0.13504273504271194,True
