cfg_id,max_features,representation,k,weights,metric,mean_macro_f1,std_macro_f1,mean_acc,mean_sens,mean_spec
122,100,embedkit_sup,15,distance,euclidean,0.5392400378884262,0.09914614344046005,0.6166666666666667,0.8154545454545454,0.3042857142857142
91,100,embedkit_unsup,15,distance,cosine,0.5386873107443948,0.10012990161490362,0.6138888888888888,0.8090909090909091,0.3071428571428571
412,1000,raw,21,uniform,euclidean,0.5375144495212711,0.10842884691080397,0.6472222222222223,0.9163636363636363,0.22428571428571423
90,100,embedkit_unsup,15,distance,euclidean,0.536591208456988,0.09772750939884994,0.6138888888888888,0.8118181818181819,0.30285714285714277
6,100,raw,3,distance,euclidean,0.5361764771344627,0.10981806853530586,0.5855555555555556,0.7300000000000001,0.3585714285714285
4,100,raw,3,uniform,euclidean,0.53608005447537,0.11032595507097726,0.5888888888888889,0.7418181818181817,0.3485714285714285
615,None,embedkit_sup,3,distance,cosine,0.5352807069533145,0.11001177511310532,0.5833333333333333,0.7018181818181819,0.39714285714285713
614,None,embedkit_sup,3,distance,euclidean,0.5352807069533145,0.11001177511310532,0.5833333333333333,0.7018181818181819,0.39714285714285713
583,None,embedkit_unsup,3,distance,cosine,0.5352807069533145,0.11001177511310532,0.5833333333333333,0.7018181818181819,0.39714285714285713
582,None,embedkit_unsup,3,distance,euclidean,0.5352807069533145,0.11001177511310532,0.5833333333333333,0.7018181818181819,0.39714285714285713
239,300,embedkit_sup,7,distance,cosine,0.535034190878046,0.1194763647989027,0.5833333333333334,0.7090909090909091,0.3857142857142858
207,300,embedkit_unsup,7,distance,cosine,0.535034190878046,0.1194763647989027,0.5833333333333334,0.7090909090909091,0.3857142857142858
442,1000,pca,15,distance,euclidean,0.5349272483166786,0.10944089631425902,0.6400000000000001,0.899090909090909,0.23285714285714276
185,300,pca,15,uniform,cosine,0.5339935306266274,0.10064195435300394,0.6216666666666666,0.848181818181818,0.2657142857142857
121,100,embedkit_sup,15,uniform,cosine,0.5336050821034705,0.09998774868766988,0.616111111111111,0.8263636363636364,0.28571428571428564
120,100,embedkit_sup,15,uniform,euclidean,0.5336050821034705,0.09998774868766988,0.616111111111111,0.8263636363636364,0.28571428571428564
106,100,embedkit_sup,5,distance,euclidean,0.5334311394125534,0.11111301210834269,0.5777777777777778,0.7054545454545453,0.37714285714285717
408,1000,raw,15,uniform,euclidean,0.5328758699848656,0.11085497882133785,0.6283333333333333,0.8699999999999997,0.2485714285714285
238,300,embedkit_sup,7,distance,euclidean,0.5324566400468609,0.12045245437943063,0.5805555555555556,0.7054545454545453,0.38428571428571423
206,300,embedkit_unsup,7,distance,euclidean,0.5324566400468609,0.12045245437943063,0.5805555555555556,0.7054545454545453,0.38428571428571423
126,100,embedkit_sup,21,distance,euclidean,0.5323865054860183,0.10787837806669244,0.6283333333333334,0.8618181818181818,0.26142857142857134
94,100,embedkit_unsup,21,distance,euclidean,0.5319683236678364,0.10792204997338951,0.6277777777777778,0.860909090909091,0.26142857142857134
89,100,embedkit_unsup,15,uniform,cosine,0.5318907256065052,0.09979615260850185,0.6138888888888888,0.8227272727272728,0.28571428571428564
88,100,embedkit_unsup,15,uniform,euclidean,0.5318907256065052,0.09979615260850185,0.6138888888888888,0.8227272727272728,0.28571428571428564
127,100,embedkit_sup,21,distance,cosine,0.5317424521547085,0.10457049127409022,0.625,0.8563636363636362,0.26142857142857134
453,1000,embedkit_unsup,3,uniform,cosine,0.5317101557518774,0.12519345994397008,0.5827777777777778,0.7172727272727275,0.3714285714285714
484,1000,embedkit_sup,3,uniform,euclidean,0.5317101557518774,0.12519345994397008,0.5827777777777778,0.7172727272727275,0.3714285714285714
485,1000,embedkit_sup,3,uniform,cosine,0.5317101557518774,0.12519345994397008,0.5827777777777778,0.7172727272727275,0.3714285714285714
452,1000,embedkit_unsup,3,uniform,euclidean,0.5317101557518774,0.12519345994397008,0.5827777777777778,0.7172727272727275,0.3714285714285714
282,500,raw,15,distance,euclidean,0.5314226719474096,0.10257838165978457,0.6250000000000001,0.8627272727272728,0.25142857142857133
95,100,embedkit_unsup,21,distance,cosine,0.5313242703365267,0.10461296955290462,0.6244444444444445,0.8554545454545455,0.26142857142857134
74,100,embedkit_unsup,5,distance,euclidean,0.5312688017502157,0.10863793258565736,0.5755555555555556,0.7027272727272726,0.37571428571428567
441,1000,pca,15,uniform,cosine,0.5312658819580108,0.11058937439028368,0.6144444444444445,0.8354545454545453,0.26714285714285707
107,100,embedkit_sup,5,distance,cosine,0.5309923673150857,0.11457172624842628,0.5766666666666667,0.7054545454545453,0.3742857142857142
158,300,raw,21,distance,euclidean,0.5308938574044646,0.11565138493390101,0.633888888888889,0.8854545454545452,0.23857142857142852
125,100,embedkit_sup,21,uniform,cosine,0.5304309867030632,0.10600614786528587,0.6277777777777778,0.8645454545454545,0.25571428571428567
124,100,embedkit_sup,21,uniform,euclidean,0.5304309867030632,0.10600614786528587,0.6277777777777778,0.8645454545454545,0.25571428571428567
211,300,embedkit_unsup,9,distance,cosine,0.5298604864225577,0.1256188876552374,0.5877777777777777,0.7327272727272727,0.35999999999999993
243,300,embedkit_sup,9,distance,cosine,0.5298604864225577,0.1256188876552374,0.5877777777777777,0.7327272727272727,0.35999999999999993
105,100,embedkit_sup,5,uniform,cosine,0.5298319687624808,0.10833180999314164,0.5777777777777778,0.7163636363636363,0.35999999999999993
104,100,embedkit_sup,5,uniform,euclidean,0.5298319687624808,0.10833180999314164,0.5777777777777778,0.7163636363636363,0.35999999999999993
93,100,embedkit_unsup,21,uniform,cosine,0.5294743433464199,0.10633023041821488,0.6272222222222222,0.8645454545454545,0.2542857142857142
92,100,embedkit_unsup,21,uniform,euclidean,0.5294743433464199,0.10633023041821488,0.6272222222222222,0.8645454545454545,0.2542857142857142
154,300,raw,15,distance,euclidean,0.5294498600835557,0.11006080496147302,0.6122222222222222,0.8272727272727272,0.27428571428571424
613,None,embedkit_sup,3,uniform,cosine,0.5293156242760869,0.10894749119968809,0.5816666666666667,0.71,0.38000000000000006
581,None,embedkit_unsup,3,uniform,cosine,0.5293156242760869,0.10894749119968809,0.5816666666666667,0.71,0.38000000000000006
580,None,embedkit_unsup,3,uniform,euclidean,0.5293156242760869,0.10894749119968809,0.5816666666666667,0.71,0.38000000000000006
612,None,embedkit_sup,3,uniform,euclidean,0.5293156242760869,0.10894749119968809,0.5816666666666667,0.71,0.38000000000000006
75,100,embedkit_unsup,5,distance,cosine,0.528830029652748,0.1121259670849221,0.5744444444444444,0.7027272727272726,0.37285714285714283
312,500,pca,15,uniform,euclidean,0.5288250301783285,0.09988370378761069,0.6305555555555555,0.880909090909091,0.23714285714285707
455,1000,embedkit_unsup,3,distance,cosine,0.5281760005385998,0.12480258615754145,0.5750000000000001,0.6981818181818182,0.3814285714285714
487,1000,embedkit_sup,3,distance,cosine,0.5281760005385998,0.12480258615754145,0.5750000000000001,0.6981818181818182,0.3814285714285714
156,300,raw,21,uniform,euclidean,0.5278058112455039,0.11423859224004974,0.635,0.8936363636363635,0.2285714285714285
38,100,pca,3,distance,euclidean,0.5276879921859697,0.10322400174656539,0.5777777777777778,0.7245454545454548,0.3471428571428571
73,100,embedkit_unsup,5,uniform,cosine,0.5276696311001432,0.10571809092386981,0.5755555555555556,0.7136363636363636,0.35857142857142854
72,100,embedkit_unsup,5,uniform,euclidean,0.5276696311001432,0.10571809092386981,0.5755555555555556,0.7136363636363636,0.35857142857142854
205,300,embedkit_unsup,7,uniform,cosine,0.5274293591960405,0.12029040548554337,0.5805555555555556,0.7181818181818181,0.3642857142857143
204,300,embedkit_unsup,7,uniform,euclidean,0.5274293591960405,0.12029040548554337,0.5805555555555556,0.7181818181818181,0.3642857142857143
236,300,embedkit_sup,7,uniform,euclidean,0.5274293591960405,0.12029040548554337,0.5805555555555556,0.7181818181818181,0.3642857142857143
237,300,embedkit_sup,7,uniform,cosine,0.5274293591960405,0.12029040548554337,0.5805555555555556,0.7181818181818181,0.3642857142857143
454,1000,embedkit_unsup,3,distance,euclidean,0.527143832706432,0.12618730303936135,0.5744444444444445,0.6981818181818182,0.37999999999999995
486,1000,embedkit_sup,3,distance,euclidean,0.527143832706432,0.12618730303936135,0.5744444444444445,0.6981818181818182,0.37999999999999995
579,None,embedkit_unsup,1,distance,cosine,0.5271002568684862,0.11781599744350466,0.5583333333333333,0.6372727272727273,0.43428571428571433
576,None,embedkit_unsup,1,uniform,euclidean,0.5271002568684862,0.11781599744350466,0.5583333333333333,0.6372727272727273,0.43428571428571433
610,None,embedkit_sup,1,distance,euclidean,0.5271002568684862,0.11781599744350466,0.5583333333333333,0.6372727272727273,0.43428571428571433
609,None,embedkit_sup,1,uniform,cosine,0.5271002568684862,0.11781599744350466,0.5583333333333333,0.6372727272727273,0.43428571428571433
611,None,embedkit_sup,1,distance,cosine,0.5271002568684862,0.11781599744350466,0.5583333333333333,0.6372727272727273,0.43428571428571433
577,None,embedkit_unsup,1,uniform,cosine,0.5271002568684862,0.11781599744350466,0.5583333333333333,0.6372727272727273,0.43428571428571433
578,None,embedkit_unsup,1,distance,euclidean,0.5271002568684862,0.11781599744350466,0.5583333333333333,0.6372727272727273,0.43428571428571433
