max_features,representation,n_neighbors,weights,metric,mean_macro_f1,mean_accuracy,mean_sensitivity,mean_specificity
100,embedkit_unsup,11,uniform,cosine,0.49499413306999507,0.6016666666666667,0.8554545454545454,0.20285714285714282
100,embedkit_unsup,11,distance,euclidean,0.49499413306999507,0.6016666666666667,0.8554545454545454,0.20285714285714282
100,embedkit_unsup,11,distance,cosine,0.49428083527056543,0.6005555555555556,0.8527272727272726,0.20428571428571424
100,embedkit_unsup,15,uniform,euclidean,0.4629999479392282,0.6033333333333334,0.8963636363636363,0.14285714285714285
100,embedkit_unsup,15,uniform,cosine,0.4629999479392282,0.6033333333333334,0.8963636363636363,0.14285714285714285
100,embedkit_unsup,15,distance,euclidean,0.4629999479392282,0.6033333333333334,0.8963636363636363,0.14285714285714285
100,embedkit_unsup,15,distance,cosine,0.46715737521404693,0.6027777777777777,0.8899999999999999,0.15142857142857138
100,embedkit_unsup,21,uniform,euclidean,0.44566398431098575,0.6055555555555556,0.9245454545454543,0.10428571428571427
100,embedkit_unsup,21,uniform,cosine,0.44566398431098575,0.6055555555555556,0.9245454545454543,0.10428571428571427
100,embedkit_unsup,21,distance,euclidean,0.4441182874152889,0.6044444444444445,0.9236363636363635,0.10285714285714283
100,embedkit_unsup,21,distance,cosine,0.4411028340946631,0.6005555555555556,0.9163636363636363,0.10428571428571427
100,embedkit_sup,1,uniform,euclidean,0.49487068350914426,0.5361111111111111,0.6527272727272729,0.3528571428571429
100,embedkit_sup,1,uniform,cosine,0.49487068350914426,0.5361111111111111,0.6527272727272729,0.3528571428571429
100,embedkit_sup,1,distance,euclidean,0.49487068350914426,0.5361111111111111,0.6527272727272729,0.3528571428571429
100,embedkit_sup,1,distance,cosine,0.49487068350914426,0.5361111111111111,0.6527272727272729,0.3528571428571429
100,embedkit_sup,3,uniform,euclidean,0.5060078843849474,0.5661111111111111,0.7327272727272728,0.3042857142857142
100,embedkit_sup,3,uniform,cosine,0.5060078843849474,0.5661111111111111,0.7327272727272728,0.3042857142857142
100,embedkit_sup,3,distance,euclidean,0.5060078843849474,0.5661111111111111,0.7327272727272728,0.3042857142857142
