config_name,c_fn,c_fp,lambda,class_weight,pooled_moe_abs,mean_moe_abs,std_moe_abs,pooled_f1_macro,mean_f1_macro,valid_structure_rate,has_zero_recall,rec_uncertain,rec_borderline,rec_clear,passes_all_gates
c_fn_0.50_lambda_0.50_cw_balanced,0.5,0.5,0.5,balanced,0.45389710471677686,0.44422595922595925,0.11452422139329765,0.28320733037827317,0.23727254132508763,1.0,False,0.3863636363633437,0.26775956284138375,0.3111111111110579,True
c_fn_0.50_lambda_0.75_cw_None,0.5,0.5,0.75,None,0.5026399981318014,0.476710594960595,0.09046359015156505,0.27476824179108233,0.2735656529863183,1.0,False,0.015151515151503675,0.02732240437156977,0.9128205128203567,False
c_fn_0.50_lambda_0.75_cw_balanced,0.5,0.5,0.75,balanced,0.45309059489387354,0.44392629130129124,0.09971839527654253,0.2788229323578603,0.22047688526241044,1.0,False,0.37878787878759185,0.3224043715845233,0.27350427350422674,True
c_fn_0.50_lambda_1.00_cw_None,0.5,0.5,1.0,None,0.49471257340109803,0.4705346320346321,0.09102016393064453,0.27910392425805336,0.27741729718194086,1.0,False,0.0075757575757518375,0.03825136612019768,0.926495726495568,True
c_fn_0.50_lambda_1.00_cw_balanced,0.5,0.5,1.0,balanced,0.44600853002492347,0.4395193417693417,0.09798032878902885,0.29160493827160494,0.23000609497025795,1.0,False,0.4090909090905992,0.27868852459001164,0.31452991452986073,True
c_fn_0.65_lambda_0.00_cw_None,0.65,0.35,0.0,None,0.4648779726648579,0.4474709827209827,0.10589666290870717,0.3398767481862038,0.3054547882692641,1.0,False,0.12878787878778122,0.043715846994511635,0.9076923076921525,True
c_fn_0.65_lambda_0.00_cw_balanced,0.65,0.35,0.0,balanced,0.41928034018197957,0.4035572853072852,0.11044382393246725,0.3023409892526799,0.250644120472967,1.0,False,0.4242424242421029,0.32786885245883723,0.30427350427345223,True
c_fn_0.65_lambda_0.25_cw_None,0.65,0.35,0.25,None,0.4738675107527566,0.45258420745920735,0.09086834278252495,0.320643485743033,0.29820992304145,1.0,False,0.07575757575751838,0.04918032786882559,0.9162393162391596,True
c_fn_0.65_lambda_0.25_cw_balanced,0.65,0.35,0.25,balanced,0.4121060330076724,0.39773815998816,0.1086892723167197,0.31466175896492105,0.26651929916834366,1.0,False,0.4848484848481176,0.32786885245883723,0.30598290598285366,True
c_fn_0.65_lambda_0.50_cw_None,0.65,0.35,0.5,None,0.48699054436759354,0.46125532800532804,0.08905472998391555,0.30385560675883255,0.29871080056254323,1.0,False,0.022727272727255513,0.07650273224039536,0.9076923076921525,True
c_fn_0.65_lambda_0.50_cw_balanced,0.65,0.35,0.5,balanced,0.4219049469049469,0.4175507409257409,0.11411422703102721,0.28145421453891206,0.23068671141494895,1.0,False,0.43181818181785475,0.3333333333331512,0.25470085470081116,True
c_fn_0.65_lambda_0.75_cw_None,0.65,0.35,0.75,None,0.4950733692536971,0.46466400266400265,0.09420657494478508,0.30596764506732016,0.28031585399186065,1.0,False,0.0606060606060147,0.06557377049176745,0.8581196581195114,True
c_fn_0.65_lambda_0.75_cw_balanced,0.65,0.35,0.75,balanced,0.4352115098016737,0.4208001674251674,0.09512516787801766,0.2684665068221705,0.22396903095907,1.0,False,0.4015151515148474,0.36612021857903493,0.22393162393158564,True
c_fn_0.65_lambda_1.00_cw_None,0.65,0.35,1.0,None,0.49471257340109803,0.4705346320346321,0.09102016393064453,0.27910392425805336,0.27741729718194086,1.0,False,0.0075757575757518375,0.03825136612019768,0.926495726495568,True
c_fn_0.65_lambda_1.00_cw_balanced,0.65,0.35,1.0,balanced,0.44600853002492347,0.4395193417693417,0.09798032878902885,0.29160493827160494,0.23000609497025795,1.0,False,0.4090909090905992,0.27868852459001164,0.31452991452986073,True
c_fn_0.80_lambda_0.00_cw_None,0.8,0.2,0.0,None,0.4806209425061883,0.4595044307544307,0.1027264139241138,0.31319444444444444,0.2911656879122292,1.0,False,0.08333333333327021,0.04918032786882559,0.8769230769229269,True
c_fn_0.80_lambda_0.00_cw_balanced,0.8,0.2,0.0,balanced,0.4034940621006194,0.3949290801790801,0.09627425586714111,0.32117310517082226,0.2655724794998768,1.0,False,0.43939393939360655,0.3114754098358954,0.34700854700848766,True
c_fn_0.80_lambda_0.25_cw_None,0.8,0.2,0.25,None,0.4666219785072245,0.4408952575202575,0.09629818361581795,0.3262354320174368,0.311559567977223,1.0,False,0.07575757575751838,0.04918032786882559,0.9350427350425752,True
c_fn_0.80_lambda_0.25_cw_balanced,0.8,0.2,0.25,balanced,0.4098879717732176,0.396206326081326,0.10881506340400275,0.2958871499434603,0.24650776649687026,1.0,False,0.4242424242421029,0.3825136612019768,0.2615384615384168,True
c_fn_0.80_lambda_0.50_cw_None,0.8,0.2,0.5,None,0.49157240755601417,0.4628862757612757,0.09158210714878628,0.29620980836898303,0.2939573345562367,1.0,False,0.022727272727255513,0.05464480874313954,0.9230769230767653,True
c_fn_0.80_lambda_0.50_cw_balanced,0.8,0.2,0.5,balanced,0.43123543123543123,0.4188486975986976,0.13104006574558968,0.2807278902432196,0.23883052306273467,1.0,False,0.37878787878759185,0.3333333333331512,0.27350427350422674,True
c_fn_0.80_lambda_0.75_cw_None,0.8,0.2,0.75,None,0.5015892425728491,0.47168724793724787,0.08701882707538287,0.2873926609555923,0.28078193639082377,1.0,False,0.015151515151503675,0.05464480874313954,0.9042735042733496,False
c_fn_0.80_lambda_0.75_cw_balanced,0.8,0.2,0.75,balanced,0.43761978761978765,0.43103257390757393,0.11544743985573973,0.26886780855160347,0.2186592131771384,1.0,False,0.41666666666635105,0.3333333333331512,0.23418803418799414,True
c_fn_0.80_lambda_1.00_cw_None,0.8,0.2,1.0,None,0.49471257340109803,0.4705346320346321,0.09102016393064453,0.27910392425805336,0.27741729718194086,1.0,False,0.0075757575757518375,0.03825136612019768,0.926495726495568,True
c_fn_0.80_lambda_1.00_cw_balanced,0.8,0.2,1.0,balanced,0.44600853002492347,0.4395193417693417,0.09798032878902885,0.29160493827160494,0.23000609497025795,1.0,False,0.4090909090905992,0.27868852459001164,0.31452991452986073,True
