w_tab,w_mri,w_text,macro_f1,accuracy,sensitivity,specificity,auroc,brier_score,tp,tn,fp,fn
0.30000000000000004,0.25,0.45,0.6497125165855816,0.6931818181818182,0.8518518518518519,0.4411764705882353,0.7287581699346405,0.19902092218399048,46,15,19,8
0.30000000000000004,0.2,0.5,0.6497125165855816,0.6931818181818182,0.8518518518518519,0.4411764705882353,0.7241285403050108,0.19834557175636292,46,15,19,8
0.0,0.45,0.55,0.6497125165855816,0.6931818181818182,0.8518518518518519,0.4411764705882353,0.7066993464052288,0.2077409327030182,46,15,19,8
0.0,0.5,0.5,0.6497125165855816,0.6931818181818182,0.8518518518518519,0.4411764705882353,0.7020697167755992,0.2093641608953476,46,15,19,8
0.15000000000000002,0.65,0.2,0.6459770114942529,0.6818181818181818,0.8148148148148148,0.47058823529411764,0.67619825708061,0.21742892265319824,44,16,18,10
0.55,0.45,0.0,0.6459770114942529,0.6818181818181818,0.8148148148148148,0.47058823529411764,0.6465141612200436,0.2332736998796463,44,16,18,10
0.5,0.5,0.0,0.6459770114942529,0.6818181818181818,0.8148148148148148,0.47058823529411764,0.648148148148148,0.23119376599788666,44,16,18,10
0.5,0.4,0.1,0.6459770114942529,0.6818181818181818,0.8148148148148148,0.47058823529411764,0.6647603485838779,0.22191327810287476,44,16,18,10
0.5,0.35000000000000003,0.15,0.6459770114942529,0.6818181818181818,0.8148148148148148,0.47058823529411764,0.6797385620915033,0.21815325319766998,44,16,18,10
0.45,0.55,0.0,0.6459770114942529,0.6818181818181818,0.8148148148148148,0.47058823529411764,0.647875816993464,0.22997704148292542,44,16,18,10
0.45,0.45,0.1,0.6459770114942529,0.6818181818181818,0.8148148148148148,0.47058823529411764,0.6680283224400871,0.22018499672412872,44,16,18,10
0.4,0.55,0.05,0.6459770114942529,0.6818181818181818,0.8148148148148148,0.47058823529411764,0.6557734204793029,0.22417835891246796,44,16,18,10
0.4,0.5,0.1,0.6459770114942529,0.6818181818181818,0.8148148148148148,0.47058823529411764,0.6669389978213507,0.21931995451450348,44,16,18,10
0.4,0.45,0.15,0.6459770114942529,0.6818181818181818,0.8148148148148148,0.47058823529411764,0.6879084967320261,0.2150484025478363,44,16,18,10
0.4,0.4,0.2,0.6459770114942529,0.6818181818181818,0.8148148148148148,0.47058823529411764,0.7001633986928104,0.21136361360549927,44,16,18,10
0.4,0.0,0.6,0.6459770114942529,0.6818181818181818,0.8148148148148148,0.47058823529411764,0.7140522875816993,0.20301136374473572,44,16,18,10
0.35000000000000003,0.65,0.0,0.6459770114942529,0.6818181818181818,0.8148148148148148,0.47058823529411764,0.6522331154684096,0.2301333099603653,44,16,18,10
0.35000000000000003,0.5,0.15,0.6459770114942529,0.6818181818181818,0.8148148148148148,0.47058823529411764,0.6892701525054467,0.21479077637195587,44,16,18,10
0.35000000000000003,0.45,0.2,0.6459770114942529,0.6818181818181818,0.8148148148148148,0.47058823529411764,0.69880174291939,0.21085023880004883,44,16,18,10
0.35000000000000003,0.4,0.25,0.6459770114942529,0.6818181818181818,0.8148148148148148,0.47058823529411764,0.7096949891067539,0.2074965536594391,44,16,18,10
0.35000000000000003,0.35000000000000003,0.3,0.6459770114942529,0.6818181818181818,0.8148148148148148,0.47058823529411764,0.718954248366013,0.20472969114780426,44,16,18,10
0.30000000000000004,0.6000000000000001,0.1,0.6459770114942529,0.6818181818181818,0.8148148148148148,0.47058823529411764,0.6672113289760349,0.22017954289913177,44,16,18,10
0.30000000000000004,0.55,0.15,0.6459770114942529,0.6818181818181818,0.8148148148148148,0.47058823529411764,0.684368191721133,0.21539638936519623,44,16,18,10
0.30000000000000004,0.5,0.2,0.6459770114942529,0.6818181818181818,0.8148148148148148,0.47058823529411764,0.6966230936819172,0.21120008826255798,44,16,18,10
0.30000000000000004,0.45,0.25,0.6459770114942529,0.6818181818181818,0.8148148148148148,0.47058823529411764,0.7110566448801744,0.20759059488773346,44,16,18,10
0.55,0.4,0.05,0.6459770114942529,0.6818181818181818,0.8148148148148148,0.47058823529411764,0.6516884531590413,0.2285958230495453,44,16,18,10
0.30000000000000004,0.4,0.3,0.6459770114942529,0.6818181818181818,0.8148148148148148,0.47058823529411764,0.7211328976034859,0.20456795394420624,44,16,18,10
0.2,0.35000000000000003,0.45,0.6429752066115701,0.6931818181818182,0.8703703703703703,0.4117647058823529,0.7309368191721133,0.19975246489048004,47,14,20,7
0.15000000000000002,0.4,0.45,0.6429752066115701,0.6931818181818182,0.8703703703703703,0.4117647058823529,0.7328431372549019,0.20141306519508362,47,14,20,7
0.1,0.45,0.45,0.6429752066115701,0.6931818181818182,0.8703703703703703,0.4117647058823529,0.7227668845315903,0.2039368748664856,47,14,20,7
0.1,0.15000000000000002,0.75,0.6429752066115701,0.6931818181818182,0.8703703703703703,0.4117647058823529,0.7222222222222222,0.20254836976528168,47,14,20,7
0.1,0.1,0.8,0.6429752066115701,0.6931818181818182,0.8703703703703703,0.4117647058823529,0.7167755991285403,0.20437084138393402,47,14,20,7
0.05,0.15000000000000002,0.8,0.6429752066115701,0.6931818181818182,0.8703703703703703,0.4117647058823529,0.7088779956427015,0.20596742630004883,47,14,20,7
0.05,0.30000000000000004,0.65,0.6429752066115701,0.6931818181818182,0.8703703703703703,0.4117647058823529,0.7129629629629629,0.20302782952785492,47,14,20,7
0.05,0.7000000000000001,0.25,0.6415226857704734,0.6704545454545454,0.7777777777777778,0.5,0.6620370370370371,0.22100920975208282,42,17,17,12
0.5,0.30000000000000004,0.2,0.6415226857704734,0.6704545454545454,0.7777777777777778,0.5,0.6947167755991285,0.2149800807237625,42,17,17,12
0.65,0.30000000000000004,0.05,0.6415226857704734,0.6704545454545454,0.7777777777777778,0.5,0.6443355119825708,0.23585687577724457,42,17,17,12
0.45,0.05,0.5,0.6415226857704734,0.6704545454545454,0.7777777777777778,0.5,0.7143246187363834,0.20448976755142212,42,17,17,12
0.35000000000000003,0.0,0.65,0.6415226857704734,0.6704545454545454,0.7777777777777778,0.5,0.7205882352941176,0.2017926275730133,42,17,17,12
0.55,0.1,0.35,0.6415226857704734,0.6704545454545454,0.7777777777777778,0.5,0.710511982570806,0.2128518670797348,42,17,17,12
0.6000000000000001,0.30000000000000004,0.1,0.6415226857704734,0.6704545454545454,0.7777777777777778,0.5,0.6598583877995642,0.2279594987630844,42,17,17,12
0.55,0.2,0.25,0.6415226857704734,0.6704545454545454,0.7777777777777778,0.5,0.6955337690631809,0.21575255692005157,42,17,17,12
0.55,0.25,0.2,0.6415226857704734,0.6704545454545454,0.7777777777777778,0.5,0.6895424836601307,0.21808312833309174,42,17,17,12
0.6000000000000001,0.25,0.15,0.6415226857704734,0.6704545454545454,0.7777777777777778,0.5,0.6691176470588235,0.22471103072166443,42,17,17,12
0.6000000000000001,0.2,0.2,0.6415226857704734,0.6704545454545454,0.7777777777777778,0.5,0.6849128540305011,0.22204938530921936,42,17,17,12
0.55,0.30000000000000004,0.15,0.6415226857704734,0.6704545454545454,0.7777777777777778,0.5,0.6734749455337691,0.221000537276268,42,17,17,12
0.1,0.05,0.85,0.6399766218585623,0.6818181818181818,0.8333333333333334,0.4411764705882353,0.7124183006535948,0.20678015053272247,45,15,19,9
0.30000000000000004,0.15000000000000002,0.55,0.6399766218585623,0.6818181818181818,0.8333333333333334,0.4411764705882353,0.7235838779956427,0.19825702905654907,45,15,19,9
0.05,0.55,0.4,0.6399766218585623,0.6818181818181818,0.8333333333333334,0.4411764705882353,0.7028867102396514,0.209865003824234,45,15,19,9
0.30000000000000004,0.30000000000000004,0.4,0.6399766218585623,0.6818181818181818,0.8333333333333334,0.4411764705882353,0.7303921568627451,0.20028309524059296,45,15,19,9
0.05,0.1,0.85,0.6399766218585623,0.6818181818181818,0.8333333333333334,0.4411764705882353,0.7091503267973857,0.20812097191810608,45,15,19,9
