representation,n_neighbors,weights,metric,mean_macro_f1,mean_accuracy,mean_sensitivity,mean_specificity
embedkit_unsup,7,uniform,cosine,0.4237071317157166,0.5066666666666667,0.7109090909090909,0.1857142857142857
embedkit_unsup,7,distance,euclidean,0.4233538553624402,0.5061111111111112,0.71,0.1857142857142857
embedkit_unsup,7,distance,cosine,0.4207863334984415,0.5016666666666666,0.702727272727273,0.18571428571428567
embedkit_unsup,9,uniform,euclidean,0.4604328436070565,0.5433333333333333,0.7527272727272728,0.2142857142857142
embedkit_unsup,9,uniform,cosine,0.4604328436070565,0.5433333333333333,0.7527272727272728,0.2142857142857142
embedkit_unsup,9,distance,euclidean,0.4561997983914026,0.5383333333333333,0.7454545454545455,0.21285714285714277
embedkit_unsup,9,distance,cosine,0.45491091249108495,0.5372222222222223,0.7454545454545455,0.20999999999999994
embedkit_unsup,11,uniform,euclidean,0.4708675490648504,0.56,0.7818181818181819,0.21142857142857135
embedkit_unsup,11,uniform,cosine,0.4708675490648504,0.56,0.7818181818181819,0.21142857142857135
embedkit_unsup,11,distance,euclidean,0.4675821174799436,0.5561111111111111,0.7772727272727272,0.20857142857142852
embedkit_unsup,11,distance,cosine,0.462671082379778,0.5522222222222222,0.7754545454545453,0.20142857142857135
embedkit_unsup,15,uniform,euclidean,0.43873482360551336,0.5555555555555555,0.8181818181818182,0.14285714285714285
embedkit_unsup,15,uniform,cosine,0.43873482360551336,0.5555555555555555,0.8181818181818182,0.14285714285714285
embedkit_unsup,15,distance,euclidean,0.4399283465484001,0.5577777777777777,0.8218181818181819,0.14285714285714285
embedkit_unsup,15,distance,cosine,0.44611094990855116,0.5588888888888889,0.8163636363636363,0.15428571428571428
embedkit_unsup,21,uniform,euclidean,0.38426889239363005,0.5616666666666668,0.8936363636363638,0.039999999999999994
embedkit_unsup,21,uniform,cosine,0.38426889239363005,0.5616666666666668,0.8936363636363638,0.039999999999999994
embedkit_unsup,21,distance,euclidean,0.38583919576175957,0.5655555555555556,0.9,0.04
embedkit_unsup,21,distance,cosine,0.3926335118266152,0.5594444444444445,0.8809090909090908,0.05428571428571428
embedkit_sup,1,uniform,euclidean,0.5341916081824281,0.5733333333333333,0.6890909090909091,0.39142857142857146
embedkit_sup,1,uniform,cosine,0.5341916081824281,0.5733333333333333,0.6890909090909091,0.39142857142857146
embedkit_sup,1,distance,euclidean,0.5341916081824281,0.5733333333333333,0.6890909090909091,0.39142857142857146
embedkit_sup,1,distance,cosine,0.5341916081824281,0.5733333333333333,0.6890909090909091,0.39142857142857146
embedkit_sup,3,uniform,euclidean,0.5469403852476575,0.5866666666666667,0.7036363636363637,0.40285714285714286
embedkit_sup,3,uniform,cosine,0.5469403852476575,0.5866666666666667,0.7036363636363637,0.40285714285714286
embedkit_sup,3,distance,euclidean,0.5469403852476575,0.5866666666666667,0.7036363636363637,0.40285714285714286
embedkit_sup,3,distance,cosine,0.5344044353280119,0.5772222222222222,0.7036363636363637,0.3785714285714286
embedkit_sup,5,uniform,euclidean,0.45725475615254857,0.5194444444444445,0.6863636363636364,0.25714285714285706
embedkit_sup,5,uniform,cosine,0.45725475615254857,0.5194444444444445,0.6863636363636364,0.25714285714285706
embedkit_sup,5,distance,euclidean,0.45725475615254857,0.5194444444444445,0.6863636363636364,0.25714285714285706
embedkit_sup,5,distance,cosine,0.44043197245513843,0.5055555555555555,0.6772727272727274,0.23571428571428563
embedkit_sup,7,uniform,euclidean,0.4233538553624402,0.5061111111111112,0.71,0.1857142857142857
embedkit_sup,7,uniform,cosine,0.4233538553624402,0.5061111111111112,0.71,0.1857142857142857
embedkit_sup,7,distance,euclidean,0.4233538553624402,0.5061111111111112,0.71,0.1857142857142857
embedkit_sup,7,distance,cosine,0.4207863334984415,0.5016666666666666,0.702727272727273,0.18571428571428567
embedkit_sup,9,uniform,euclidean,0.4594762002504132,0.5427777777777778,0.7527272727272728,0.2128571428571428
embedkit_sup,9,uniform,cosine,0.4594762002504132,0.5427777777777778,0.7527272727272728,0.2128571428571428
embedkit_sup,9,distance,euclidean,0.45566133685294113,0.5383333333333333,0.7463636363636365,0.21142857142857135
embedkit_sup,9,distance,cosine,0.4539542691344416,0.5366666666666667,0.7454545454545455,0.20857142857142846
embedkit_sup,11,uniform,euclidean,0.4691993672466686,0.5583333333333333,0.78,0.20999999999999988
embedkit_sup,11,uniform,cosine,0.4691993672466686,0.5583333333333333,0.78,0.20999999999999988
embedkit_sup,11,distance,euclidean,0.4663321174799436,0.555,0.7763636363636363,0.20714285714285705
embedkit_sup,11,distance,cosine,0.4617144390231347,0.5516666666666666,0.7754545454545453,0.19999999999999993
embedkit_sup,15,uniform,euclidean,0.4370075508782406,0.5538888888888889,0.8163636363636365,0.14142857142857143
embedkit_sup,15,uniform,cosine,0.4370075508782406,0.5538888888888889,0.8163636363636365,0.14142857142857143
embedkit_sup,15,distance,euclidean,0.43826028634773123,0.5561111111111111,0.82,0.14142857142857143
embedkit_sup,15,distance,cosine,0.44437388697148816,0.5572222222222222,0.8145454545454544,0.15285714285714283
embedkit_sup,21,uniform,euclidean,0.38456889239363007,0.5622222222222223,0.8945454545454545,0.039999999999999994
embedkit_sup,21,uniform,cosine,0.38456889239363007,0.5622222222222223,0.8945454545454545,0.039999999999999994
embedkit_sup,21,distance,euclidean,0.38561752088491225,0.5650000000000001,0.899090909090909,0.04
embedkit_sup,21,distance,cosine,0.3926335118266152,0.5594444444444445,0.8809090909090908,0.05428571428571428
corr_0.7,1,uniform,euclidean,0.5065918610665247,0.5494444444444445,0.6763636363636365,0.35
