config_id,split_id,true_label,pred_label,count
euclidean_rigid_uniform_k3,9,0,0,3
euclidean_rigid_uniform_k3,9,0,1,4
euclidean_rigid_uniform_k3,9,1,0,1
euclidean_rigid_uniform_k3,9,1,1,10
euclidean_rigid_uniform_k3,10,0,0,3
euclidean_rigid_uniform_k3,10,0,1,4
euclidean_rigid_uniform_k3,10,1,0,3
euclidean_rigid_uniform_k3,10,1,1,8
euclidean_rigid_uniform_k3,11,0,0,3
euclidean_rigid_uniform_k3,11,0,1,4
euclidean_rigid_uniform_k3,11,1,0,2
euclidean_rigid_uniform_k3,11,1,1,9
euclidean_rigid_uniform_k3,12,0,0,5
euclidean_rigid_uniform_k3,12,0,1,2
euclidean_rigid_uniform_k3,12,1,0,4
euclidean_rigid_uniform_k3,12,1,1,7
euclidean_rigid_uniform_k3,13,0,0,1
euclidean_rigid_uniform_k3,13,0,1,6
euclidean_rigid_uniform_k3,13,1,0,1
euclidean_rigid_uniform_k3,13,1,1,10
euclidean_rigid_uniform_k3,14,0,0,3
euclidean_rigid_uniform_k3,14,0,1,4
euclidean_rigid_uniform_k3,14,1,0,2
euclidean_rigid_uniform_k3,14,1,1,9
euclidean_rigid_uniform_k3,15,0,0,2
euclidean_rigid_uniform_k3,15,0,1,5
euclidean_rigid_uniform_k3,15,1,0,2
euclidean_rigid_uniform_k3,15,1,1,9
euclidean_rigid_uniform_k3,16,0,0,3
euclidean_rigid_uniform_k3,16,0,1,4
euclidean_rigid_uniform_k3,16,1,0,2
euclidean_rigid_uniform_k3,16,1,1,9
euclidean_rigid_uniform_k3,17,0,0,4
euclidean_rigid_uniform_k3,17,0,1,3
euclidean_rigid_uniform_k3,17,1,0,4
euclidean_rigid_uniform_k3,17,1,1,7
euclidean_rigid_uniform_k3,18,0,0,4
euclidean_rigid_uniform_k3,18,0,1,3
euclidean_rigid_uniform_k3,18,1,0,2
euclidean_rigid_uniform_k3,18,1,1,9
euclidean_rigid_uniform_k3,19,0,0,4
euclidean_rigid_uniform_k3,19,0,1,3
euclidean_rigid_uniform_k3,19,1,0,2
euclidean_rigid_uniform_k3,19,1,1,9
euclidean_rigid_uniform_k3,20,0,0,4
euclidean_rigid_uniform_k3,20,0,1,3
euclidean_rigid_uniform_k3,20,1,0,6
euclidean_rigid_uniform_k3,20,1,1,5
euclidean_rigid_uniform_k3,21,0,0,5
euclidean_rigid_uniform_k3,21,0,1,2
euclidean_rigid_uniform_k3,21,1,0,3
euclidean_rigid_uniform_k3,21,1,1,8
euclidean_rigid_uniform_k3,22,0,0,1
euclidean_rigid_uniform_k3,22,0,1,6
euclidean_rigid_uniform_k3,22,1,0,4
euclidean_rigid_uniform_k3,22,1,1,7
euclidean_rigid_uniform_k3,23,0,0,5
euclidean_rigid_uniform_k3,23,0,1,2
euclidean_rigid_uniform_k3,23,1,0,5
euclidean_rigid_uniform_k3,23,1,1,6
euclidean_rigid_uniform_k3,24,0,0,5
euclidean_rigid_uniform_k3,24,0,1,2
euclidean_rigid_uniform_k3,24,1,0,3
euclidean_rigid_uniform_k3,24,1,1,8
euclidean_rigid_uniform_k3,25,0,0,4
euclidean_rigid_uniform_k3,25,0,1,3
euclidean_rigid_uniform_k3,25,1,0,4
euclidean_rigid_uniform_k3,25,1,1,7
euclidean_rigid_uniform_k3,26,0,0,3
euclidean_rigid_uniform_k3,26,0,1,4
euclidean_rigid_uniform_k3,26,1,0,2
euclidean_rigid_uniform_k3,26,1,1,9
euclidean_rigid_uniform_k3,27,0,0,3
euclidean_rigid_uniform_k3,27,0,1,4
euclidean_rigid_uniform_k3,27,1,0,5
euclidean_rigid_uniform_k3,27,1,1,6
euclidean_rigid_uniform_k3,28,0,0,2
euclidean_rigid_uniform_k3,28,0,1,5
euclidean_rigid_uniform_k3,28,1,0,2
euclidean_rigid_uniform_k3,28,1,1,9
euclidean_rigid_uniform_k3,29,0,0,4
euclidean_rigid_uniform_k3,29,0,1,3
euclidean_rigid_uniform_k3,29,1,0,4
euclidean_rigid_uniform_k3,29,1,1,7
euclidean_rigid_uniform_k3,30,0,0,2
euclidean_rigid_uniform_k3,30,0,1,5
euclidean_rigid_uniform_k3,30,1,0,2
euclidean_rigid_uniform_k3,30,1,1,9
euclidean_rigid_uniform_k3,31,0,0,3
euclidean_rigid_uniform_k3,31,0,1,4
euclidean_rigid_uniform_k3,31,1,0,4
